accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.054 0.019 0.076614454 0.45010993 10.223241
0.054 0.029 0.35913026 0.36870706 10.25676
0.054 0.039 0.40222588 0.50757074 9.945514
0.058 0.049 0.33518824 0.60812724 9.3661175
0.070 0.059 0.37828386 0.46926352 9.399636
0.092 0.069 0.038307227 0.40222588 9.485827
0.092 0.079 0.076614454 0.32561144 10.769119
0.103 0.089 0.50278234 -0.1388637 10.213664
0.103 0.099 0.7086837 -0.32561144 10.472239
0.218 0.110 0.8523358 -0.33518824 10.228029
0.218 0.120 0.6655881 -0.320823 9.706094
0.218 0.130 0.31124622 -0.40701428 9.648633
0.218 0.140 -0.033518825 -0.320823 9.854534
0.219 0.150 0.320823 -0.15801731 10.084377
0.219 0.160 0.4165911 0.1340753 10.041282
0.219 0.170 0.12449849 0.7661445 9.969456
0.219 0.180 -0.17717093 1.3790601 9.552865
0.219 0.190 -0.79487497 1.4460979 8.748413
0.219 0.200 -0.49799395 0.78529817 7.2352777
0.219 0.210 2.2218192 -0.4405331 6.6510925
0.269 0.220 -0.22505496 -0.076614454 11.113884
0.269 0.230 -0.8762778 0.47405192 11.899182
0.270 0.241 0.05267244 -1.0486604 10.237606
0.270 0.251 0.110133275 -1.5897499 9.691729
0.270 0.261 -0.61770403 0.29688102 9.572019
0.276 0.271 -0.5746084 0.92895025 8.700529
0.284 0.281 0.12928689 -0.062249243 8.935161
0.363 0.291 0.22505496 -0.63206923 9.595961
0.364 0.301 -0.22505496 -0.61291564 9.548077
0.364 0.311 -0.033518825 -1.0151415 9.763555
0.364 0.321 -0.45010993 -1.6903064 21.490355
0.364 0.331 -0.9911995 -0.8619126 5.865794
0.364 0.341 0.1388637 -0.7613561 9.595961
0.364 0.351 0.6751649 -0.6799533 9.035717
0.368 0.362 0.7086837 0.21068975 10.290278
0.386 0.372 0.51714754 0.33518824 10.19451
0.386 0.382 -0.30166942 0.23463176 10.175357
0.419 0.392 -0.79008657 0.24899697 10.520123
0.420 0.402 -0.4165911 -0.02873042 9.9790325
0.420 0.412 -0.110133275 -0.5506664 10.0508585
0.428 0.422 -0.30645782 -0.8810662 10.67814
0.435 0.432 -0.0047884034 -1.0055647 11.104307
0.449 0.442 -0.16280572 -0.49320555 11.022904
0.457 0.452 0.5363012 -0.7422025 10.6398325
0.466 0.462 0.17238252 -0.320823 10.089166
0.475 0.472 -0.91458505 -0.10055647 9.974244
0.485 0.482 -1.8818425 -0.17238252 9.639056
0.500 0.493 -2.3080103 -0.5554548 8.90643
0.505 0.503 -2.3654714 -0.89064306 9.275137
0.516 0.513 -1.6089035 -0.8858546 10.031705
0.526 0.523 -0.5650316 -0.7565677 10.419566
0.536 0.533 0.019153614 -0.6512229 10.477027
0.548 0.543 -0.20590134 -0.4261679 10.156203
0.556 0.553 -0.7182605 -0.23942018 9.993398
0.567 0.563 -0.79008657 -0.2681506 9.974244
0.576 0.573 -0.6799533 -0.5602432 10.19451
0.587 0.583 -0.4165911 -0.90500826 10.371682
0.600 0.593 -0.32561144 -1.1348516 10.682928
0.607 0.604 -0.11492168 -0.9672575 10.970232
0.617 0.614 0.47405192 -0.5410896 11.018116
0.626 0.624 0.2873042 -0.4357447 10.936713
0.637 0.634 -0.10055647 -0.22984336 10.807426
0.656 0.644 -0.4261679 0.047884032 10.635044
0.658 0.654 -0.79487497 0.019153614 10.089166
0.718 0.664 -0.5315128 -0.272939 9.275137
0.718 0.674 0.62728083 -0.94331545 8.485051
0.718 0.684 1.4987702 -1.0055647 8.384495
0.718 0.694 2.2888567 -0.50757074 8.676587
0.718 0.704 1.5993267 -0.521936 9.385271
0.718 0.714 0.7038953 -0.23942018 10.275913
0.727 0.724 0.10534488 -0.37349546 11.281479
0.749 0.734 -0.21068975 -0.78050977 11.051635
0.749 0.745 -0.06703765 -1.3215994 10.237606
0.757 0.755 0.31124622 -0.8379706 10.0987425
0.770 0.765 -0.20111294 -0.33039984 11.990162
0.777 0.775 -0.062249243 0.34955344 11.444284
