linear-acceleration.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.054 0.019 -9.552611 -0.766798 8.820549
0.055 0.029 -9.2668705 -0.8433733 8.827993
0.055 0.039 -9.220703 -0.6997049 8.492201
0.058 0.049 -9.284538 -0.5943525 7.887844
0.070 0.059 -9.238091 -0.7267153 7.8945246
0.092 0.069 -9.574768 -0.78558886 7.953418
0.092 0.079 -9.533079 -0.8550168 9.210175
0.103 0.089 -9.103668 -1.311516 8.628937
0.103 0.100 -8.895421 -1.4930726 8.869553
0.219 0.110 -8.747416 -1.50949 8.604399
0.219 0.120 -8.926356 -1.5166056 8.052284
0.219 0.130 -9.270375 -1.633253 7.9576964
0.219 0.140 -9.604151 -1.5783689 8.124802
0.219 0.150 -9.239664 -1.4423223 8.318581
0.219 0.160 -9.134986 -1.1724659 8.243862
0.219 0.170 -9.419611 -0.55731606 8.144949
0.219 0.180 -9.715736 0.04974854 7.7037883
0.219 0.190 -10.329582 0.12832236 6.871386
0.219 0.200 -10.030283 -0.49534076 5.320645
0.219 0.210 -7.31408 -1.6649249 4.7177353
0.270 0.220 -9.762117 -1.271207 9.167662
0.270 0.231 -10.412286 -0.716249 9.94518
0.270 0.241 -9.484447 -2.234208 8.286135
0.270 0.251 -9.427813 -2.7742672 7.743679
0.270 0.261 -10.153879 -0.89550966 7.6201034
0.276 0.271 -10.109849 -0.27277952 6.7497787
0.284 0.281 -9.408081 -1.2590942 6.9918222
0.364 0.291 -9.316812 -1.8084158 7.662211
0.364 0.301 -9.774125 -1.7597586 7.632245
0.364 0.311 -9.589102 -2.1282763 7.860357
0.364 0.321 -10.008599 -2.771874 19.583557
0.364 0.331 -10.542997 -1.9200952 3.9128969
0.364 0.341 -9.394186 -1.7869058 7.5369325
0.364 0.351 -8.8342285 -1.658282 6.8483233
0.368 0.362 -8.777529 -0.71204066 7.9814444
0.386 0.372 -8.947634 -0.5312898 7.778417
0.386 0.382 -9.746732 -0.587266 7.668236
0.420 0.392 -10.218373 -0.54718536 7.942543
0.420 0.402 -9.828251 -0.8130191 7.3378353
0.420 0.412 -9.514313 -1.3309915 7.381985
0.428 0.422 -9.704977 -1.6679578 7.991317
0.435 0.432 -9.394265 -1.8043911 8.389535
0.450 0.442 -9.536003 -1.3049958 8.256218
0.457 0.452 -8.822636 -1.5598943 7.826993
0.466 0.462 -9.16978 -1.1421674 7.222147
0.476 0.472 -10.240222 -0.9345747 7.057516
0.485 0.483 -11.198044 -1.0246505 6.697555
0.500 0.493 -11.627582 -1.4272647 5.9813786
0.505 0.503 -11.698175 -1.7805578 6.3977957
0.516 0.513 -10.959253 -1.7868757 7.215766
0.526 0.523 -9.935433 -1.6600059 7.671881
0.536 0.533 -9.370515 -1.5568542 7.7966638
0.548 0.543 -9.610904 -1.3411944 7.5334096
0.556 0.553 -10.135044 -1.169991 7.418789
0.567 0.563 -10.2171 -1.2176976 7.4443893
0.576 0.573 -10.117426 -1.5303895 7.7119064
0.587 0.583 -9.866561 -1.8944266 7.9448524
0.600 0.593 -9.78973 -2.139878 8.318446
0.607 0.604 -9.5938635 -1.9848273 8.671403
0.617 0.614 -9.015956 -1.564436 8.768024
0.626 0.624 -9.202934 -1.4631934 8.689468
0.637 0.634 -9.5848055 -1.2629968 8.537623
0.657 0.644 -9.899097 -0.99173206 8.321348
0.658 0.654 -10.25343 -1.0292257 7.7212505
0.718 0.664 -9.982553 -1.3307666 6.8815513
0.718 0.674 -8.807891 -2.0098586 6.0334415
0.718 0.684 -7.9218726 -2.0785558 5.8803854
0.718 0.694 -7.1192102 -1.5868696 6.128297
0.718 0.704 -7.79864 -1.6085985 6.8030663
0.718 0.714 -8.684791 -1.3340653 7.6635
0.727 0.724 -9.270584 -1.4791877 8.628218
0.749 0.735 -9.569151 -1.9068506 8.345909
0.749 0.745 -9.411509 -2.476308 7.4957266
0.757 0.755 -9.014621 -2.0187645 7.3051186
0.770 0.765 -9.50442 -1.5326654 9.131246
0.777 0.775 -9.341341 -0.8732966 8.5162325
0.788 0.785 -9.404355 -0.7466407 7.1747303
0.800 0.795 -9.059871 -0.9929259 5.743593
0.808 0.805 -8.421147 -1.5744902 5.5877905
0.818 0.815 -8.482202 -1.6806132 6.477166
0.828 0.825 -7.8314347 -1.7804374 6.892135
0.839 0.835 -8.057004 -2.1393204 7.2482643
0.849 0.845 -8.022831 -2.3069646 7.142292
0.858 0.855 -8.599006 -2.2382567 7.5601406
0.872 0.866 -9.886792 -1.9522098 7.5173397
0.878 0.876 -12.121445 -1.5954391 7.275893
0.889 0.886 -13.664175 -1.672435 7.2069607
0.898 0.896 -12.747366 -1.992033 7.0014763
0.908 0.906 -10.458649 -2.2048726 6.802453
0.918 0.916 -8.034558 -2.0770998 6.326978
0.929 0.926 -8.071344 -2.1077046 6.276422
0.940 0.936 -8.98269 -1.9348639 6.5167084
0.949 0.946 -10.624913 -1.9966242 6.0394635
0.968 0.956 -12.085172 -1.9691228 6.8341103
0.971 0.966 -11.635931 -1.3489954 7.459766
0.979 0.976 -11.958284 -1.2286613 7.943309
0.991 0.986 -11.521502 -1.2017562 7.9746385
0.999 0.997 -10.529219 -1.1983016 7.3905625
1.009 1.007 -9.801272 -1.4190197 6.4997635
1.020 1.017 -8.882164 -2.2006407 4.8442245
