linear-acceleration.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.432 0.385 -0.096827984 0.013819516 0.36747265
0.432 0.405 -0.4177065 -0.44798955 0.73826504
0.432 0.425 -0.2577448 0.16551071 0.9812002
0.448 0.445 -0.009704113 0.10911971 -0.08715916
0.468 0.465 0.37856007 -0.20282555 -0.62527657
0.489 0.485 0.45090532 -0.3779671 0.07604313
0.515 0.506 0.76754045 0.028330863 -0.4142728
0.534 0.526 -0.22510481 0.5270506 -2.0753427
0.551 0.546 -1.1720624 0.25339085 -1.6002011
0.570 0.566 0.39106178 -0.0072443485 1.621398
0.590 0.586 0.7173829 0.12263405 -0.09955692
0.617 0.606 -0.74122477 -0.29162586 -2.697781
0.633 0.626 0.41607237 0.88557553 -1.3771448
0.650 0.647 0.89338255 0.068022996 -1.135356
0.683 0.667 -0.8081813 -0.9214907 0.61121607
0.689 0.687 2.0019665 -0.70263547 0.6914396
0.715 0.707 2.304041 0.8091929 -1.2799292
0.736 0.727 -1.7056108 0.17521365 -0.4716978
0.750 0.747 -0.8698883 -0.6418967 3.5252247
0.770 0.767 1.4311271 -0.7422695 2.762022
0.790 0.788 1.6248789 -0.5900776 1.2127857
0.811 0.808 -0.23080301 0.35482755 0.5741267
0.832 0.828 -0.8247175 0.6565899 0.55674076
0.853 0.848 -0.11038113 0.73985785 1.7429004
0.873 0.868 -0.44468498 0.7751968 2.2343597
0.891 0.888 -1.0688004 -0.82140976 0.17204046
0.913 0.908 0.17335749 0.50505745 -0.8889055
0.934 0.929 -0.4161768 1.6737361 -0.6447396
0.951 0.949 -0.815866 0.89355665 0.018568516
0.972 0.969 0.106743336 0.10213268 -0.57809496
0.992 0.989 -0.17309237 0.11109498 -1.2818632
1.015 1.009 0.28267765 -0.5823757 -2.3110714
1.032 1.029 0.8689928 -0.53641856 0.8349552
1.052 1.049 1.0986371 0.3051202 2.9158516
1.073 1.070 -0.9489684 1.3361769 1.872158
1.095 1.090 -0.09550238 -1.8827531 -1.2863169
1.114 1.110 0.124366045 -1.3379706 0.3180151
1.133 1.130 -0.6523037 -0.6771906 -0.34095573
1.154 1.150 -0.09644413 -0.27974522 0.37541676
1.173 1.170 -0.6010845 0.20133466 -1.6039782
1.193 1.190 0.7886524 0.5941926 0.7100935
1.214 1.211 0.23079097 -0.43127328 0.7291689
1.233 1.231 0.6076749 -0.8172866 -0.16164684
1.254 1.251 0.45429242 -1.3190961 0.23177338
1.275 1.271 -0.8869952 -0.29900378 -0.20055199
1.296 1.291 -0.82302105 1.0808709 -0.8418789
1.315 1.311 -0.62360114 1.6449566 -1.3698282
1.334 1.331 -0.11380631 1.1576817 0.14185047
1.354 1.352 -0.60423076 -1.0232271 1.4158306
1.375 1.372 -3.4669924 -2.397793 1.8057117
1.395 1.392 -1.8864448 -0.47286618 0.11108589
1.416 1.412 0.85211635 1.2043374 -0.99894524
1.435 1.432 2.35704 1.2299799 -1.3385353
1.455 1.452 0.6826432 0.54624414 -0.41998577
1.475 1.472 0.37211645 0.07482362 -0.79933834
1.496 1.493 -0.4214602 0.7371822 -0.8900871
1.516 1.513 1.0860431 -0.04557401 -0.39637375
1.536 1.533 0.94386524 -0.08518499 -0.7022209
1.556 1.553 0.27891397 -0.39204115 -0.038163185
1.578 1.573 0.38130307 -0.5303697 -0.21615887
1.598 1.593 1.2510175 -0.28505826 -0.6339712
1.618 1.613 0.84164894 0.021042705 -0.6122303
1.636 1.634 -0.14432299 0.06312424 -0.24701786
1.657 1.654 -0.3748623 -0.3443557 -0.009305954
1.678 1.674 0.47915977 -0.3807665 0.2234726
1.697 1.694 0.5019352 -0.43371022 0.4883461
1.717 1.714 0.6586679 0.092294574 -0.17586708
1.738 1.734 1.400761 0.9563539 -1.0075445
1.758 1.754 0.33324575 0.2702672 -0.5647154
1.779 1.775 -0.9287472 -1.0736235 1.608571
1.797 1.795 -0.1011287 -0.79211026 1.3703012
1.818 1.815 -0.48819125 -0.92010874 0.290761
1.838 1.835 0.80081964 0.4880646 -0.09898567
1.858 1.855 1.5570983 0.27592576 -1.0253706
1.879 1.875 0.61356735 -0.49193832 -1.3782854
1.899 1.895 -0.31229627 -0.6269338 -0.5384388
1.919 1.916 0.11145663 -0.099770166 -0.025000572
1.939 1.936 -0.3165164 0.49018538 0.39735985
1.959 1.956 0.15616882 0.19785386 -0.7319269
1.983 1.976 -0.02069974 -0.5017512 -0.97442245
1.999 1.996 0.25124955 -0.18738195 -0.030776978
2.020 2.016 0.525777 -0.1658727 0.6139765
2.039 2.037 0.59855235 0.062755436 -0.33461094
2.062 2.057 -0.28085804 -0.29453838 0.35080242
2.080 2.077 -0.3852687 -0.26477066 0.94419956
2.099 2.097 -0.091796756 0.49130386 0.14893818
2.120 2.117 0.3717724 0.78005147 -1.6895647
2.140 2.137 0.82669115 -0.272806 -0.24982452
2.163 2.157 0.32473576 -1.1643193 1.1656246
2.180 2.177 0.61589885 -0.31420827 1.2905598
2.201 2.198 0.5569241 0.28682935 0.03292942
2.220 2.218 -0.11556542 -0.019967437 -1.8156366
2.240 2.238 -0.41967833 -0.20408839 -0.79651356
2.263 2.258 -0.025175452 -0.48731613 0.112688065
2.283 2.278 0.2596438 -0.3525083 0.5236044
2.301 2.298 0.48988307 -0.09057844 -0.38458538
2.324 2.318 0.72974896 0.19434285 -0.851758
2.341 2.339 0.64008653 0.047228634 -0.8988333
2.366 2.359 0.17605579 -0.20643169 -0.12347031
2.382 2.379 0.19308686 -0.07371962 0.22647667
2.402 2.399 0.24761462 0.028782368 -0.12000179
2.422 2.419 0.6568402 -0.06610024 0.17236519
2.443 2.439 0.4131261 -0.0038885474 0.014370918
2.465 2.460 -0.17959535 -0.1309346 0.016583443
2.483 2.480 0.030225396 -0.17737633 -0.06911373
2.503 2.500 0.8317567 0.0808267 -0.3995638
2.523 2.520 0.42466652 0.05408472 -0.5756531
2.544 2.540 0.036478043 -0.3857714 0.3506031
2.566 2.560 0.30034804 0.13441563 0.83950424
2.585 2.580 0.53853846 0.35002172 0.19612885
2.603 2.600 -0.012717128 0.12078047 -1.0275564
2.623 2.621 0.11651504 0.5826657 0.79569244
2.647 2.641 -0.2387551 -0.13123429 0.65660095
2.665 2.661 0.58089125 0.05610788 0.8860512
2.684 2.681 0.4641602 0.057007313 -0.45977402
2.705 2.701 0.17748034 0.3768114 -1.3093395
2.724 2.721 -0.3362677 -0.2664616 -0.2411232
2.745 2.742 -0.647769 -0.4171598 0.6180439
2.768 2.762 -0.61912334 -0.06677306 0.47913837
2.785 2.782 0.403 0.0798713 0.3248949
2.805 2.802 0.99383795 0.3678851 -0.36739254
2.825 2.822 0.8076936 0.09150958 -0.36385918
2.845 2.842 0.20241773 -0.45183158 0.09197807
2.866 2.862 0.20721817 -0.6580038 0.29229546
2.886 2.883 0.17080867 -0.16259646 0.21908855
2.905 2.903 -0.15060973 0.10264504 -0.13192749
2.925 2.923 -1.0054582 -0.5567241 0.2875824
2.949 2.943 -0.684448 -0.48904514 0.752265
2.967 2.963 -0.3507191 -0.7086389 0.6230278
2.986 2.983 0.32441735 -0.37393057 0.23099327
3.007 3.003 0.37696433 0.064982176 0.093382835
3.030 3.024 -0.3260342 0.6772056 0.03483677
3.054 3.044 -0.67595196 0.5836405 -0.009270668
3.075 3.064 -1.0147747 0.60089725 0.073200226
3.091 3.084 -0.872277 0.025944412 -0.16507053
3.110 3.104 0.28418684 1.2261996 -1.2941914
3.132 3.124 1.0837009 1.4754386 -1.2371902
3.155 3.145 0.44678938 0.8274128 -1.1614771
3.171 3.165 0.31136358 0.05231011 -0.46067142
3.187 3.185 0.47131336 -0.53139544 0.05821228
3.209 3.205 -1.1523697 -0.17371768 -0.96266365
3.227 3.225 -1.4685266 0.26581168 -0.91458607
