accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.021 0.020 -0.27893066 -0.19090271 9.05835
0.284 0.282 -0.25512695 -0.3563385 9.107147
0.305 0.287 -0.07897949 -0.5384369 9.047638
0.305 0.292 -0.10397339 -0.39442444 9.179749
0.305 0.297 0.060272217 -0.35395813 9.221405
0.305 0.302 -0.26583862 -0.43608093 9.004791
0.316 0.307 0.0697937 -0.42893982 9.013123
0.316 0.312 -0.21704102 -0.30278015 8.960754
0.318 0.317 0.11621094 -0.50035095 8.910767
0.326 0.322 -0.268219 -0.071884155 9.18689
0.330 0.327 0.0138549805 -0.6753082 8.836975
0.334 0.332 -0.20275879 -0.23136902 9.182129
0.342 0.337 0.27093506 -0.31230164 9.174988
0.344 0.342 -0.31344604 -0.41584778 9.054779
0.349 0.347 -0.025421143 -0.41227722 9.164276
0.357 0.352 -0.10635376 -0.3396759 9.014313
0.360 0.357 -0.053985596 -0.35038757 9.06311
0.364 0.362 -0.14682007 -0.33729553 8.970276
0.369 0.367 -0.038513184 -0.5765228 8.92981
0.374 0.372 0.017425537 -0.30158997 9.146423
0.379 0.378 0.02456665 -0.26945496 9.205933
0.384 0.382 -0.15753174 -0.53367615 9.015503
0.390 0.387 -0.057556152 -0.40275574 9.147614
0.394 0.392 -0.075408936 -0.37657166 8.971466
0.399 0.397 0.038848877 -0.27659607 9.028595
0.407 0.403 -0.21942139 -0.3718109 9.088104
0.409 0.408 -0.015899658 -0.54914856 8.9678955
0.414 0.413 -0.14801025 -0.23851013 9.117859
0.423 0.418 0.08288574 -0.42774963 9.141663
0.425 0.423 -0.13253784 -0.44560242 9.103577
0.429 0.428 0.061462402 -0.43251038 9.102386
0.434 0.433 -0.19561768 -0.250412 9.100006
0.447 0.438 0.09954834 -0.54914856 8.913147
0.447 0.443 -0.15753174 -0.07783508 9.196411
0.449 0.448 -0.0051879883 -0.6122284 8.832214
0.457 0.453 -0.14562988 -0.33729553 9.110718
0.460 0.458 0.16143799 -0.34681702 9.221405
0.465 0.463 -0.1765747 -0.4396515 9.12381
0.475 0.468 0.001953125 -0.38609314 9.097626
0.476 0.473 -0.18728638 -0.40394592 9.057159
0.480 0.478 0.053131104 -0.41108704 9.055969
0.484 0.483 -0.1932373 -0.106399536 9.101196
0.492 0.488 0.04837036 -0.6634064 8.857208
0.495 0.493 -0.16586304 -0.3158722 9.076202
0.500 0.498 0.11502075 -0.25279236 9.247589
0.507 0.503 -0.11706543 -0.53248596 8.942902
0.510 0.508 -0.11706543 -0.43727112 9.098816
0.515 0.513 0.0138549805 -0.33372498 8.950043
0.528 0.518 -0.032562256 -0.2587433 9.025024
0.529 0.523 -0.03970337 -0.3718109 9.045258
0.532 0.528 -0.048034668 -0.46583557 9.040497
0.539 0.533 -0.12182617 -0.27064514 9.142853
0.567 0.538 0.02218628 -0.3813324 9.103577
0.567 0.543 -0.16229248 -0.47654724 8.985748
0.568 0.549 0.10787964 -0.4396515 9.023834
0.568 0.554 -0.1611023 -0.19566345 9.020264
0.568 0.559 0.08526611 -0.5634308 8.982178
0.568 0.564 -0.12420654 -0.104019165 9.196411
0.572 0.569 0.05432129 -0.62413025 9.042877
0.581 0.574 -0.14086914 -0.2158966 9.1987915
0.582 0.579 0.1519165 -0.31944275 9.095245
0.585 0.584 -0.2098999 -0.31230164 8.965515
0.595 0.589 0.0055236816 -0.42655945 9.050018
0.596 0.594 -0.073028564 -0.30278015 8.988129
0.600 0.599 -0.045654297 -0.44560242 8.975037
0.607 0.604 -0.08731079 -0.18138123 9.165466
0.613 0.609 -0.059936523 -0.61579895 8.947662
0.615 0.614 0.006713867 -0.37776184 9.177368
0.621 0.619 0.04360962 -0.1421051 9.19046
0.628 0.624 0.0697937 -0.5717621 8.925049
0.631 0.629 -0.16705322 -0.36586 9.157135
0.636 0.634 0.034088135 -0.3884735 8.980988
0.642 0.639 0.017425537 -0.2908783 9.033356
0.646 0.644 -0.1777649 -0.35514832 9.138092
0.651 0.649 -0.01828003 -0.5146332 9.077393
0.656 0.654 -0.14682007 -0.29206848 9.214264
0.661 0.659 0.12097168 -0.45750427 9.075012
0.666 0.664 -0.083740234 -0.33610535 8.99527
0.671 0.669 0.0138549805 -0.4717865 8.988129
0.676 0.674 -0.051605225 -0.21946716 9.007172
0.681 0.679 0.02456665 -0.5729523 8.939331
0.688 0.685 -0.07778931 -0.1504364 9.12738
0.692 0.690 -0.026611328 -0.54319763 9.029785
0.696 0.695 -0.0039978027 -0.41584778 9.064301
0.701 0.700 0.09954834 -0.23017883 9.241638
0.706 0.705 -0.21466064 -0.39323425 9.084534
0.711 0.710 0.009094238 -0.40275574 9.130951
0.716 0.715 -0.19442749 -0.3075409 9.032166
0.721 0.720 0.09240723 -0.5443878 9.020264
0.727 0.725 -0.19442749 -0.052841187 9.094055
0.731 0.730 0.03527832 -0.7419586 8.914337
0.738 0.735 -0.09802246 -0.25517273 9.304718
0.741 0.740 0.018615723 -0.25993347 9.352325
0.746 0.745 -0.0039978027 -0.4634552 9.021454
0.752 0.750 -0.18014526 -0.35990906 9.159515
0.757 0.755 -0.0075683594 -0.30873108 8.978607
0.762 0.760 -0.06945801 -0.33491516 8.93338
0.767 0.765 -0.05279541 -0.30397034 9.016693
0.772 0.770 -0.07659912 -0.48487854 9.183319
0.777 0.775 0.0138549805 -0.42536926 9.159515
0.782 0.780 0.006713867 -0.23017883 9.182129
0.790 0.785 -0.10397339 -0.4467926 9.096436
0.792 0.790 0.025756836 -0.46702576 8.972656
0.797 0.795 -0.16467285 -0.23017883 9.06073
0.802 0.800 0.078125 -0.4717865 8.991699
0.807 0.805 -0.18252563 -0.10282898 9.144043
0.812 0.810 0.0697937 -0.65031433 8.984558
0.817 0.815 -0.094451904 -0.31825256 9.271393
0.822 0.820 0.11621094 -0.33372498 9.224976
0.827 0.825 -0.21228027 -0.41703796 9.085724
0.832 0.831 -0.0028076172 -0.40870667 9.132141
0.839 0.836 -0.086120605 -0.26350403 9.067871
0.842 0.841 -0.11230469 -0.5193939 8.940521
0.848 0.846 -0.105163574 -0.16352844 9.084534
0.852 0.851 -0.037322998 -0.6134186 8.938141
0.858 0.856 -0.06112671 -0.30278015 9.065491
0.863 0.861 0.05908203 -0.21232605 9.144043
0.867 0.866 -0.08255005 -0.53248596 9.045258
0.872 0.871 -0.046844482 -0.33372498 9.144043
0.879 0.876 -0.032562256 -0.28849792 9.021454
0.882 0.881 0.16262817 -0.50154114 8.959564
0.889 0.886 -0.23846436 -0.16590881 9.06073
0.893 0.891 0.0031433105 -0.6050873 8.99646
0.898 0.896 -0.14801025 -0.32539368 9.100006
0.903 0.901 0.06265259 -0.3313446 9.227356
0.908 0.906 -0.08969116 -0.47297668 9.089294
0.913 0.911 -0.0206604 -0.40751648 9.217834
0.918 0.916 -0.17062378 -0.24803162 9.267822
0.924 0.921 -0.0051879883 -0.5384369 9.003601
0.929 0.926 -0.083740234 -0.17066956 9.159515
0.933 0.931 0.023376465 -0.4967804 8.888153
0.939 0.936 7.6293945E-4 -0.46702576 9.092865
0.943 0.941 0.13406372 -0.21946716 9.25473
0.948 0.946 -0.1765747 -0.37419128 9.171417
0.953 0.951 0.14953613 -0.46702576 9.020264
0.958 0.956 -0.15039063 -0.36586 9.046448
0.963 0.961 0.20071411 -0.44441223 8.859589
0.968 0.966 -0.17062378 -0.16114807 8.950043
0.973 0.971 0.16143799 -0.69673157 8.623932
0.978 0.977 0.03765869 -0.282547 8.9678955
0.983 0.982 0.16500854 -0.23970032 9.114288
0.990 0.987 -0.043273926 -0.50987244 8.99527
0.993 0.992 -0.09802246 -0.45393372 9.259491
0.998 0.997 -0.07659912 -0.3480072 9.089294
1.008 1.002 -0.08731079 -0.3230133 9.238068
1.009 1.007 -0.184906 -0.31230164 9.221405
1.014 1.012 -0.08969116 -0.4884491 9.151184
1.019 1.017 -0.0289917 -0.3718109 9.141663
1.024 1.022 0.012664795 -0.19923401 9.204742
1.029 1.027 -0.2265625 -0.4705963 8.971466
1.034 1.032 0.11621094 -0.5765228 9.104767
1.040 1.037 -0.31463623 -0.20399475 9.167847
1.044 1.042 0.20071411 -0.54200745 8.970276
1.049 1.047 -0.19204712 -0.12663269 9.273773
1.056 1.052 0.050750732 -0.5884247 9.053589
1.059 1.057 -0.15396118 -0.2575531 9.172607
1.064 1.062 0.10192871 -0.3313446 9.170227
1.069 1.067 -0.18014526 -0.3575287 9.027405
1.075 1.072 -0.026611328 -0.43013 9.0833435
1.079 1.077 -0.064697266 -0.39204407 8.940521
1.084 1.082 0.029327393 -0.564621 8.970276
1.090 1.087 -0.1765747 -0.2004242 9.163086
1.094 1.092 0.036468506 -0.6455536 8.951233
1.099 1.097 -0.118255615 -0.2992096 9.170227
1.104 1.102 -4.272461E-4 -0.14924622 9.18808
1.109 1.107 -0.15515137 -0.577713 9.042877
1.114 1.112 -0.0099487305 -0.3646698 9.028595
1.119 1.118 0.08169556 -0.3063507 9.082153
1.124 1.123 -0.21347046 -0.2992096 9.052399
1.129 1.128 -0.011138916 -0.6015167 8.988129
1.134 1.133 -0.11706543 -0.31706238 9.133331
1.140 1.138 0.060272217 -0.35276794 9.111908
1.145 1.143 -0.11706543 -0.43251038 8.978607
1.150 1.148 0.08288574 -0.42774963 9.095245
1.157 1.153 -0.2015686 -0.18257141 9.153564
1.160 1.158 0.06265259 -0.64198303 8.947662
1.165 1.163 -0.12896729 -0.112350464 9.236877
1.170 1.168 -0.04446411 -0.55033875 8.970276
1.175 1.173 -0.046844482 -0.4717865 9.132141
1.183 1.178 0.11621094 -0.15519714 9.182129
1.185 1.183 -0.17181396 -0.48963928 9.034546
1.192 1.188 0.10192871 -0.3646698 9.050018
1.195 1.193 -0.20037842 -0.44441223 8.963135
1.200 1.198 0.15905762 -0.41822815 8.921478
1.205 1.203 -0.2670288 -0.095687866 9.221405
1.210 1.208 -0.048034668 -0.69792175 8.74295
1.215 1.213 0.057891846 -0.4063263 9.330902
1.224 1.218 -0.017089844 -0.1587677 9.395172
1.226 1.223 -0.08255005 -0.5848541 9.033356
1.231 1.228 -0.13134766 -0.4396515 9.18808
1.235 1.233 -0.04208374 -0.31706238 9.0190735
1.250 1.238 -0.073028564 -0.3075409 8.776276
1.250 1.243 -0.12658691 -0.34681702 9.035736
1.250 1.248 0.017425537 -0.61579895 9.053589
1.255 1.254 -0.13848877 -0.2158966 9.196411
1.262 1.259 -0.05041504 -0.31944275 9.236877
1.265 1.264 -0.15158081 -0.49916077 9.016693
1.271 1.269 -4.272461E-4 -0.3491974 9.119049
1.275 1.274 -0.17300415 -0.29444885 8.955994
1.280 1.279 0.047180176 -0.5610504 8.766754
1.286 1.284 -0.043273926 -0.06593323 9.084534
1.292 1.289 -0.04208374 -0.6038971 9.046448
1.296 1.294 -0.03375244 -0.3491974 9.291626
1.301 1.299 0.061462402 -0.39204407 9.263062
1.308 1.304 -0.21109009 -0.36824036 9.12619
1.316 1.309 -0.07659912 -0.37538147 9.079773
1.317 1.314 -0.20751953 -0.23851013 8.975037
1.322 1.319 0.04360962 -0.57533264 8.927429
1.326 1.324 -0.18133545 -0.10758972 9.1154785
1.331 1.329 -0.019470215 -0.62413025 8.927429
1.336 1.334 0.068603516 -0.43489075 9.1666565
1.342 1.339 0.016235352 -0.104019165 9.257111
1.346 1.344 -0.152771 -0.4884491 8.907196
1.351 1.349 -0.05041504 -0.41703796 9.075012
1.356 1.354 -0.13372803 -0.27778625 9.114288
1.361 1.359 0.076934814 -0.40156555 8.901245
1.366 1.364 -0.26583862 -0.2730255 9.110718
1.374 1.369 -0.09088135 -0.60746765 8.99884
1.378 1.374 -0.08493042 -0.34324646 9.173798
1.384 1.379 -0.05041504 -0.35990906 9.142853
1.386 1.384 -0.045654297 -0.32777405 8.928619
1.400 1.389 -0.05517578 -0.38609314 9.035736
1.400 1.394 -0.03137207 -0.2242279 9.141663
1.401 1.400 -0.105163574 -0.5289154 8.904816
1.407 1.405 -0.06826782 -0.071884155 9.18808
1.411 1.410 -0.13729858 -0.58961487 8.926239
1.416 1.415 0.015045166 -0.4563141 9.104767
1.421 1.420 -0.034942627 -0.18138123 9.301147
1.427 1.425 -0.22894287 -0.3396759 9.069061
1.432 1.430 -0.05279541 -0.39561462 9.109528
1.440 1.435 -0.22180176 -0.31230164 9.18689
1.442 1.440 -0.027801514 -0.49082947 8.922668
1.449 1.445 -0.14324951 -0.16352844 9.06311
1.452 1.450 -0.14086914 -0.68006897 8.833405
1.460 1.455 0.016235352 -0.3396759 9.201172
1.463 1.460 0.050750732 -0.23136902 9.3142395
1.468 1.465 -0.07778931 -0.4134674 9.073822
1.472 1.470 -0.083740234 -0.43013 9.032166
1.477 1.475 -0.11230469 -0.33848572 9.095245
1.482 1.480 -0.07183838 -0.3813324 8.809601
1.490 1.485 -0.18133545 -0.2730255 8.963135
1.493 1.490 -0.07897949 -0.37419128 9.015503
1.497 1.495 -0.1111145 -0.47773743 9.194031
1.502 1.500 -0.059936523 -0.28373718 9.214264
1.507 1.505 -0.051605225 -0.4146576 8.984558
1.512 1.510 -0.1694336 -0.40870667 9.076202
1.517 1.515 -0.18371582 -0.314682 9.032166
1.525 1.520 -0.14562988 -0.462265 8.896484
1.528 1.525 -0.11706543 -0.0135650635 9.269012
1.534 1.530 -0.18014526 -0.596756 8.99527
1.544 1.536 -0.094451904 -0.37062073 9.092865
1.545 1.541 -0.027801514 -0.3718109 9.211884
1.549 1.546 -0.115875244 -0.32777405 9.096436
1.553 1.551 -0.105163574 -0.42655945 9.0833435
1.557 1.556 -0.2098999 -0.36586 8.958374
1.562 1.561 -0.17419434 -0.38609314 8.895294
1.567 1.566 -0.18966675 -0.1587677 9.155945
1.573 1.571 -0.17181396 -0.45988464 8.914337
1.578 1.576 -0.17419434 -0.5051117 9.147614
1.583 1.581 -0.07897949 -0.22541809 9.284485
1.594 1.586 -0.17181396 -0.48130798 9.080963
1.599 1.591 -0.094451904 -0.35157776 8.980988
1.600 1.596 -0.26107788 -0.32658386 9.054779
1.603 1.601 -0.01828003 -0.39561462 8.851257
1.612 1.606 -0.2348938 -0.13258362 9.259491
1.613 1.611 -0.16586304 -0.45393372 9.004791
1.618 1.616 -0.13015747 -0.53367615 8.940521
1.623 1.621 -0.15396118 -0.24565125 9.140472
1.628 1.626 -0.09088135 -0.25160217 9.027405
1.634 1.631 -0.1694336 -0.5467682 9.040497
1.642 1.636 -0.16229248 -0.38371277 9.113098
1.644 1.641 -0.118255615 -0.32658386 9.001221
1.648 1.646 -0.17895508 -0.3063507 9.169037
1.654 1.651 -0.18609619 -0.36943054 9.048828
1.658 1.656 -0.064697266 -0.5789032 9.116669
1.663 1.661 -0.1361084 -0.21470642 9.404694
1.668 1.666 -0.27178955 -0.31111145 9.092865
1.674 1.671 -0.1932373 -0.5110626 9.141663
1.678 1.676 -0.29559326 -0.35990906 9.151184
1.683 1.681 -0.12896729 -0.45750427 8.99646
1.691 1.687 -0.28607178 -0.095687866 9.244019
1.693 1.692 -0.1765747 -0.5848541 8.897675
1.698 1.697 -0.22180176 -0.44441223 9.183319
1.703 1.702 -0.14324951 -0.17424011 9.25592
1.709 1.707 -0.19085693 -0.43370056 8.958374
1.714 1.712 -0.19204712 -0.42774963 8.969086
1.719 1.717 -0.15872192 -0.4146576 9.0190735
1.724 1.722 -0.19442749 -0.29325867 8.901245
1.729 1.727 -0.28845215 -0.3813324 9.0512085
1.734 1.732 -0.25274658 -0.4313202 9.119049
1.739 1.738 -0.21109009 -0.43013 9.136902
1.744 1.742 -0.16229248 -0.27183533 9.19165
1.749 1.747 -0.2182312 -0.397995 8.940521
1.757 1.752 -0.16586304 -0.47297668 9.032166
1.759 1.757 -0.28726196 -0.33015442 9.110718
1.764 1.762 -0.10040283 -0.48249817 8.831024
1.769 1.767 -0.2015686 -0.18495178 9.202362
1.774 1.772 -0.1777649 -0.43370056 9.070251
1.779 1.777 -0.15991211 -0.38371277 9.165466
1.785 1.782 -0.11230469 -0.25993347 9.12738
1.789 1.787 -0.24917603 -0.31349182 9.041687
1.794 1.792 -0.3824768 -0.29682922 9.172607
1.799 1.797 -0.24798584 -0.3968048 8.964325
1.809 1.802 -0.12539673 -0.4063263 8.971466
1.810 1.807 -0.31344604 -0.14091492 9.194031
1.815 1.812 -0.17181396 -0.5931854 8.848877
1.819 1.818 -0.2182312 -0.45750427 9.111908
1.824 1.823 -0.09326172 -0.10997009 9.422546
1.834 1.828 -0.31939697 -0.37419128 8.92981
1.834 1.833 -0.13967896 -0.43608093 8.86911
1.842 1.838 -0.23846436 -0.24327087 9.005981
1.845 1.843 -0.14682007 -0.36586 8.947662
1.850 1.848 -0.28964233 -0.20637512 9.094055
1.859 1.853 -0.16467285 -0.4563141 8.99765
1.860 1.858 -0.2432251 -0.37657166 9.153564
1.865 1.863 -0.27893066 -0.21708679 9.236877
1.870 1.868 -0.19799805 -0.33610535 8.99408
