accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.431 0.364 5.907654 0.6422272 6.6779785
0.432 0.384 5.7207947 0.63746643 7.4099426
0.432 0.404 5.1887817 -0.08616638 8.154999
0.432 0.424 5.247101 0.55415344 8.73819
0.447 0.444 5.4815674 0.5410614 7.655121
0.466 0.465 5.9493103 0.23994446 6.9862366
0.487 0.485 6.0968933 0.056655884 7.6967773
0.507 0.505 6.537262 0.5351105 7.1326294
0.533 0.525 5.5851135 1.1944733 5.1521606
0.550 0.545 4.5651245 0.99690247 5.398529
0.567 0.565 6.1623535 0.6707916 8.792938
0.589 0.586 6.5539246 0.737442 7.0695496
0.609 0.606 5.1090393 0.29707336 4.18454
0.629 0.626 6.453949 1.4979706 5.2676086
0.648 0.646 7.128784 0.53868103 5.3164063
0.683 0.666 5.4184875 -0.7264862 7.07193
0.688 0.686 8.434418 -0.78004456 7.1195374
0.708 0.706 9.064026 0.6327057 4.871277
0.736 0.726 5.11499 -0.023086548 5.4770813
0.748 0.747 5.9516907 -0.8978729 9.604645
0.769 0.767 8.3368225 -1.084732 8.963135
0.789 0.787 8.596283 -0.95500183 7.4849243
0.809 0.807 6.6693726 0.08760071 6.94339
0.829 0.827 5.915985 0.52201843 7.085022
0.849 0.847 6.420624 0.7041168 8.55014
0.872 0.867 5.7707825 0.82551575 9.404694
0.890 0.888 4.7710266 -0.68840027 7.624176
0.912 0.908 5.773163 0.81837463 6.712494
0.933 0.928 5.018585 2.187088 7.035034
0.950 0.948 4.4353943 1.5098724 7.8015137
0.971 0.968 5.151886 0.6898346 7.3254395
0.990 0.988 4.5972595 0.5743866 6.7541504
1.014 1.008 4.7448425 -0.29682922 5.840088
1.030 1.028 5.087616 -0.40989685 9.157135
1.050 1.049 5.184021 0.3363495 11.406586
1.071 1.069 2.952423 1.3884735 10.490143
1.091 1.089 3.5641785 -1.7940826 7.399231
1.113 1.109 3.464203 -1.2204132 9.140472
1.131 1.129 2.207367 -0.6217499 8.634644
1.153 1.149 2.1776123 -0.314682 9.526093
1.172 1.170 1.1528625 0.10664368 7.617035
1.193 1.190 2.2383118 0.45655823 10.003357
1.213 1.210 1.3444824 -0.6443634 10.08548
1.232 1.230 1.2540283 -1.0978241 9.234497
1.252 1.250 0.61013794 -1.6560211 9.653442
1.273 1.270 -1.1965637 -0.6848297 9.211884
1.292 1.290 -1.500061 0.6243744 8.529907
1.314 1.311 -1.5274353 1.0599823 7.945526
1.333 1.331 -1.0787354 0.3518219 9.435638
1.353 1.351 -1.5452881 -2.117813 10.715088
1.373 1.371 -4.3327026 -3.592453 11.148315
1.395 1.391 -2.5462341 -1.5084381 9.495148
1.415 1.411 0.4815979 0.35658264 8.397797
1.433 1.431 2.3180542 0.4994049 8.047882
1.453 1.452 0.93981934 -0.12068176 8.959564
1.474 1.472 0.8838806 -0.54914856 8.558472
1.494 1.492 0.25784302 0.12687683 8.440643
1.514 1.512 1.8943481 -0.6693573 8.917908
1.534 1.532 1.836029 -0.6872101 8.595367
1.554 1.552 1.2230835 -0.95262146 9.257111
1.575 1.572 1.3718567 -1.0573578 9.073822
1.596 1.592 2.3002014 -0.78956604 8.642975
1.616 1.613 1.919342 -0.47297668 8.653687
1.635 1.633 0.9017334 -0.4384613 9.017883
1.655 1.653 0.61727905 -0.8740692 9.259491
1.675 1.673 1.4349365 -0.9431 9.498718
1.695 1.693 1.444458 -1.0133209 9.772461
1.716 1.713 1.6253662 -0.4563141 9.105957
1.735 1.733 2.426361 0.47798157 8.258545
1.756 1.754 1.4099426 -0.1754303 8.689392
1.778 1.774 0.18881226 -1.5560455 10.878143
1.796 1.794 1.0909729 -1.2870636 10.649628
1.816 1.814 0.77438354 -1.3489532 9.567749
1.838 1.834 2.1395264 0.1947174 9.172607
1.856 1.854 2.9869385 0.11854553 8.22522
1.878 1.874 2.1192932 -0.55747986 7.8443604
1.897 1.895 1.2314148 -0.661026 8.670349
1.917 1.915 1.6575012 -0.1337738 9.183319
1.937 1.935 1.2052307 0.4672699 9.614166
1.957 1.955 1.6610718 0.1947174 8.478729
1.981 1.975 1.4694519 -0.5110626 8.22641
1.997 1.995 1.7324829 -0.250412 9.171417
