accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.049 0.028 -3.8402996 2.3319526 8.389283
0.049 0.038 -3.98874 2.2649148 8.192958
0.058 0.048 -3.9217024 2.4181437 8.259995
0.069 0.058 -4.285621 2.6719291 8.288726
0.091 0.068 -4.3526587 2.9496565 8.48984
0.091 0.078 -4.572925 3.1555579 8.66701
0.195 0.089 -4.6255975 3.0358477 8.465898
0.195 0.099 -4.462792 2.8921957 8.451532
0.195 0.109 -4.3766007 2.633622 8.437167
0.195 0.119 -4.2281604 2.4612393 8.360553
0.195 0.129 -4.1946416 2.4756045 8.355764
0.195 0.139 -4.156334 2.4660277 8.470686
0.195 0.149 -4.003105 2.4468741 8.7053175
0.195 0.159 -3.9264908 2.4899697 8.66701
0.196 0.169 -3.86903 2.2840683 8.494628
0.196 0.179 -4.2281604 2.1691468 8.221688
0.196 0.189 -4.0318356 2.6048915 8.1402855
0.202 0.199 -3.8642416 2.8778305 7.8290396
0.240 0.209 -4.175488 2.7724855 7.943961
0.240 0.220 -4.2760444 2.825158 8.571242
0.240 0.230 -4.5537715 2.7581203 8.983045
0.249 0.240 -5.5401826 2.0111294 10.079589
0.252 0.250 -4.309563 2.695871 9.792285
0.334 0.260 -3.1555579 2.791639 9.203311
0.334 0.270 -3.2704794 2.27928 8.66701
0.334 0.280 -3.0071173 2.030283 8.710106
0.334 0.290 -2.60968 2.0350714 8.90643
0.334 0.300 -1.982399 1.5035586 9.370906
0.334 0.310 -3.7014358 2.1930888 8.269572
0.334 0.320 -4.8458643 3.1364043 7.953538
0.334 0.330 -4.6591167 3.5769374 8.192958
0.352 0.341 -4.0557775 3.5865142 8.394072
0.356 0.351 -4.213795 3.3087866 8.738836
0.389 0.361 -4.3143516 2.9017725 9.006987
0.389 0.371 -4.333505 2.7341783 9.02614
0.389 0.381 -4.4196963 2.7389667 8.7532015
0.397 0.391 -3.7062242 2.542642 8.676587
0.407 0.401 -3.7110126 2.3894134 8.580819
0.441 0.411 -3.7349546 2.4468741 8.695741
0.442 0.421 -3.7062242 2.801216 8.887277
0.442 0.431 -3.7684734 3.0502129 8.820239
0.456 0.441 -3.8163576 3.1603463 8.738836
0.456 0.451 -3.9504328 3.2130187 8.748413
0.473 0.461 -4.122815 3.2465374 8.647857
0.490 0.472 -4.0892963 3.2273839 8.480263
0.490 0.482 -4.213795 3.1651347 8.37013
0.505 0.492 -4.3718123 3.0310593 8.293514
0.505 0.502 -4.414908 2.9161377 8.226477
0.523 0.512 -4.31914 2.8060043 8.336611
0.548 0.522 -4.2999864 2.7246015 8.441956
0.548 0.532 -4.3382936 2.9400797 8.6334915
0.548 0.542 -4.405331 3.0597897 8.820239
