accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.132 0.119 5.6886234 -3.9839516 6.9048777
0.148 0.139 5.631162 -4.084508 6.8665705
0.167 0.159 5.6982 -3.9552212 6.6893997
0.263 0.180 5.899313 -3.86903 6.71813
0.263 0.200 6.0142345 -3.8259344 6.6846113
0.263 0.220 5.90889 -3.8881836 6.603208
0.263 0.240 5.8322754 -3.9025488 6.7085533
0.263 0.260 5.889736 -3.8163576 6.6893997
0.304 0.280 5.861006 -3.8546648 6.703765
0.304 0.301 5.7748146 -3.8642416 6.751649
0.322 0.321 5.7125654 -3.8163576 6.8091097
0.379 0.341 5.506664 -3.787627 6.694188
0.380 0.361 5.6407394 -3.9600096 6.861782
0.389 0.381 5.707777 -3.9456444 6.919243
0.404 0.401 5.583278 -3.9217024 6.8522053
0.430 0.421 5.616797 -3.8738184 6.823475
0.448 0.442 5.45878 -3.892972 6.8043213
0.465 0.462 5.535394 -3.8786068 6.7324953
0.484 0.482 5.6982 -4.0078936 6.9527617
0.504 0.502 5.7604494 -4.0414124 6.871359
0.524 0.522 5.8226986 -3.9504328 6.8282633
0.548 0.542 5.841852 -3.8833952 6.6271505
0.565 0.563 5.827487 -3.7780502 6.612785
0.585 0.583 5.707777 -3.845088 6.6846113
0.605 0.603 5.731719 -3.916914 6.7133417
0.625 0.623 5.803545 -3.9025488 6.646304
0.650 0.643 5.793968 -3.916914 6.6415157
0.672 0.663 5.770026 -3.916914 6.742072
0.724 0.684 5.7748146 -3.821146 6.7229185
0.724 0.704 5.8322754 -3.845088 6.483498
0.727 0.724 5.7843914 -3.9217024 6.7085533
0.754 0.744 5.90889 -4.0414124 6.861782
0.769 0.764 5.765238 -3.8881836 6.7612257
0.786 0.784 5.851429 -3.9073372 6.5840545
0.806 0.805 5.861006 -3.892972 6.7612257
0.827 0.825 5.755661 -3.8786068 6.694188
0.848 0.845 5.9184666 -3.9504328 6.71813
0.867 0.865 5.8945246 -3.8833952 6.646304
0.887 0.885 5.779603 -3.8594532 6.4787097
0.907 0.905 5.770026 -3.845088 6.622362
0.927 0.925 5.837064 -3.916914 6.727707
0.947 0.946 5.851429 -3.940856 6.751649
0.971 0.966 5.8562174 -3.9312792 6.6893997
0.988 0.986 5.8083334 -3.86903 6.5984197
1.008 1.006 5.803545 -3.8402996 6.6606693
1.028 1.026 5.81791 -3.8355112 6.703765
1.048 1.046 5.875371 -3.9312792 6.7564373
1.069 1.067 5.81791 -3.9504328 6.6893997
1.088 1.087 5.827487 -3.9264908 6.6654577
1.109 1.107 5.923255 -3.9121256 6.6846113
1.129 1.127 5.851429 -3.8402996 6.6367273
1.149 1.147 5.9424086 -3.8498764 6.5840545
1.169 1.167 5.7748146 -3.7253778 6.9000893
1.190 1.188 5.7508726 -3.8977604 6.7372837
1.209 1.208 5.6551046 -3.8594532 6.7229185
1.230 1.228 5.779603 -3.9312792 6.7133417
1.250 1.248 5.889736 -3.9121256 6.7229185
1.272 1.268 5.837064 -3.8546648 6.7612257
1.290 1.288 5.7987566 -3.8115692 6.703765
1.310 1.309 5.81791 -3.8642416 6.6654577
1.330 1.329 5.841852 -3.8594532 6.5984197
1.351 1.349 5.889736 -3.8163576 6.679823
1.371 1.369 5.837064 -3.8881836 6.6989765
1.391 1.389 5.9280434 -3.8546648 6.703765
1.411 1.409 5.827487 -3.8498764 6.6510925
