accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.292 0.291 6.7205505 -3.797165 5.3890076
0.313 0.312 6.6170044 -3.7447968 5.3116455
0.338 0.332 6.666992 -3.7816925 5.3306885
0.356 0.352 6.7074585 -3.836441 5.442566
0.373 0.372 6.6943665 -3.855484 5.4128113
0.393 0.392 6.686035 -3.8650055 5.3568726
0.413 0.412 6.787201 -3.8507233 5.4211426
0.439 0.432 6.731262 -3.817398 5.347351
0.455 0.453 6.6943665 -3.8007355 5.352112
0.474 0.473 6.6884155 -3.7959747 5.306885
0.494 0.493 6.6812744 -3.7709808 5.3318787
0.529 0.513 6.690796 -3.7935944 5.429474
0.543 0.533 6.6896057 -3.8138275 5.4092407
0.555 0.553 6.6419983 -3.842392 5.359253
0.575 0.573 6.8038635 -3.8209686 5.392578
0.594 0.593 6.696747 -3.8090668 5.314026
0.615 0.614 6.686035 -3.8245392 5.3294983
0.636 0.634 6.762207 -3.7924042 5.3556824
0.655 0.654 6.7134094 -3.797165 5.3128357
0.675 0.674 6.699127 -3.7995453 5.3425903
0.695 0.694 6.7217407 -3.8031158 5.352112
0.716 0.714 6.711029 -3.785263 5.3414
0.736 0.734 6.722931 -3.8066864 5.335449
0.756 0.755 6.699127 -3.7876434 5.3485413
0.777 0.775 6.7086487 -3.8519135 5.3259277
0.796 0.795 6.730072 -3.8471527 5.3485413
0.819 0.815 6.741974 -3.8412018 5.347351
0.837 0.835 6.7384033 -3.816208 5.3830566
0.856 0.855 6.6931763 -3.7697906 5.3366394
0.877 0.876 6.659851 -3.8078766 5.3247375
0.897 0.896 6.787201 -3.8019257 5.33902
0.919 0.916 6.7086487 -3.8031158 5.3580627
0.937 0.936 6.747925 -3.8590546 5.3247375
0.957 0.956 6.7538757 -3.8209686 5.335449
0.978 0.976 6.78006 -3.7935944 5.3235474
0.998 0.996 6.7443542 -3.8090668 5.3056946
1.020 1.016 6.7443542 -3.8150177 5.359253
1.038 1.037 6.7764893 -3.817398 5.386627
1.058 1.057 6.731262 -3.8078766 5.353302
1.079 1.077 6.621765 -3.817398 5.3318787
1.098 1.097 6.639618 -3.7995453 5.34021
1.120 1.117 6.7443542 -3.8626251 5.354492
1.139 1.137 6.7026978 -3.8733368 5.3568726
1.159 1.157 6.697937 -3.7924042 5.3425903
1.179 1.178 6.6550903 -3.8447723 5.27594
1.199 1.198 6.6610413 -3.9102325 5.3378296
1.220 1.218 6.7217407 -3.8721466 5.417572
1.239 1.238 6.7526855 -3.836441 5.354492
1.259 1.258 6.7134094 -3.868576 5.2866516
1.280 1.278 6.6824646 -3.8459625 5.321167
1.300 1.298 6.7026978 -3.8542938 5.327118
1.320 1.319 6.6824646 -3.8340607 5.391388
1.340 1.339 6.6491394 -3.8447723 5.3699646
1.360 1.359 6.7062683 -3.8542938 5.3616333
1.381 1.379 6.7336426 -3.868576 5.33902
1.400 1.399 6.6753235 -3.881668 5.3187866
1.421 1.419 6.7003174 -3.8507233 5.309265
1.441 1.439 6.743164 -3.8090668 5.347351
1.461 1.460 6.7134094 -3.8638153 5.346161
1.481 1.480 6.6824646 -3.938797 5.3640137
1.501 1.500 6.712219 -3.9114227 5.309265
1.521 1.520 6.6943665 -3.8864288 5.33902
1.542 1.540 6.6765137 -3.8590546 5.3425903
1.561 1.560 6.7074585 -3.8209686 5.319977
1.582 1.580 6.7205505 -3.861435 5.372345
1.604 1.601 6.677704 -3.855484 5.3556824
1.622 1.621 6.731262 -3.861435 5.333069
1.642 1.641 6.7443542 -3.8852386 5.392578
1.662 1.661 6.575348 -3.9102325 5.4973145
1.683 1.681 6.4813232 -3.8566742 5.4461365
1.703 1.701 6.421814 -3.8888092 5.4604187
1.723 1.721 6.4444275 -3.8864288 5.4401855
1.743 1.742 6.5777283 -3.8780975 5.40329
1.763 1.762 6.664612 -3.8650055 5.435425
1.783 1.782 6.724121 -3.8852386 5.392578
1.803 1.802 6.743164 -3.9399872 5.3318787
1.823 1.822 6.7253113 -3.9221344 5.384247
1.844 1.843 6.703888 -3.8447723 5.379486
1.864 1.863 6.6110535 -3.8995209 5.397339
1.884 1.883 6.664612 -3.842392 5.385437
1.905 1.903 6.7062683 -3.8281097 5.3747253
1.924 1.923 6.619385 -3.8185883 5.4282837
1.944 1.943 6.6300964 -3.8126373 5.3937683
1.964 1.963 6.613434 -3.8352509 5.3961487
1.989 1.983 6.678894 -3.8078766 5.321167
2.005 2.004 6.7145996 -3.861435 5.3937683
2.025 2.024 6.7217407 -3.8840485 5.3628235
2.045 2.044 6.731262 -3.8888092 5.366394
2.065 2.064 6.7776794 -3.8721466 5.3628235
2.085 2.084 6.7467346 -3.8435822 5.40329
2.106 2.104 6.71698 -3.8590546 5.398529
2.126 2.124 6.6360474 -3.8293 5.3568726
2.146 2.145 6.6122437 -3.7317047 5.4080505
2.166 2.165 6.6884155 -3.8590546 5.3961487
2.186 2.185 6.472992 -3.9042816 5.436615
2.206 2.205 6.6539 -3.9149933 5.4592285
2.226 2.225 6.6550903 -3.8995209 5.371155
2.246 2.245 6.5979614 -3.8923798 5.3616333
2.267 2.265 6.6312866 -3.944748 5.3949585
2.287 2.286 6.5860596 -3.8590546 5.4270935
2.307 2.306 6.5336914 -3.8542938 5.4259033
2.327 2.326 6.4825134 -3.9042816 5.437805
2.347 2.346 6.5479736 -3.9673615 5.4723206
2.368 2.366 6.645569 -3.9268951 5.519928
2.388 2.386 6.722931 -3.8626251 5.4592285
2.408 2.406 6.5015564 -3.8388214 5.411621
2.428 2.427 6.6491394 -3.9304657 5.3878174
2.448 2.447 6.576538 -3.9102325 5.461609
2.471 2.467 6.4813232 -3.932846 5.462799
2.488 2.487 6.455139 -3.9149933 5.604431
2.508 2.507 6.4634705 -3.944748 5.544922
2.528 2.527 6.497986 -3.9471283 5.5306396
2.548 2.547 6.4253845 -3.861435 5.506836
2.571 2.568 6.4503784 -3.932846 5.525879
2.590 2.588 6.4944153 -3.8566742 5.5937195
2.609 2.608 6.4265747 -3.8531036 5.603241
2.629 2.628 6.4444275 -3.9185638 5.6068115
2.649 2.648 6.4313354 -3.944748 5.6187134
2.672 2.668 6.486084 -3.9364166 5.553253
2.690 2.689 6.383728 -3.9042816 5.616333
2.710 2.709 6.4325256 -3.8769073 5.7032166
2.730 2.729 6.384918 -3.9221344 5.66037
2.750 2.749 6.237335 -4.0078278 5.655609
2.771 2.769 6.26947 -3.9828339 5.6639404
2.791 2.789 6.312317 -3.8911896 5.7353516
2.811 2.809 6.159973 -3.9078522 5.5794373
2.831 2.830 6.2778015 -4.004257 5.712738
2.851 2.850 6.120697 -3.9733124 5.813904
2.874 2.870 6.088562 -4.004257 5.885315
2.892 2.890 6.1611633 -3.9399872 5.752014
2.911 2.910 6.1825867 -3.9149933 5.8103333
2.931 2.930 6.0968933 -3.9495087 5.826996
2.952 2.950 6.173065 -3.8590546 6.025757
2.972 2.971 6.132599 -3.7947845 5.8888855
2.992 2.991 6.1111755 -3.8293 5.8686523
3.012 3.011 6.1766357 -3.8245392 5.9281616
3.032 3.031 6.2599487 -4.1078033 6.1126404
3.053 3.051 6.2075806 -3.9626007 5.8436584
3.072 3.071 6.0397644 -3.7864532 5.861511
3.093 3.091 6.2778015 -3.849533 5.765106
3.113 3.112 6.1564026 -3.9471283 5.872223
3.134 3.132 6.1171265 -3.938797 5.885315
3.155 3.152 6.1242676 -3.900711 5.9198303
3.174 3.172 6.063568 -3.9423676 5.8186646
3.195 3.192 6.0659485 -3.9030914 5.7615356
3.215 3.212 6.114746 -3.9530792 5.826996
3.239 3.233 6.07666 -4.0173492 5.7877197
3.268 3.253 6.1825867 -4.1078033 5.794861
3.275 3.273 6.1766357 -4.117325 5.8186646
3.294 3.293 6.2956543 -4.0125885 5.9091187
3.315 3.313 6.1944885 -3.906662 5.910309
3.335 3.333 6.125458 -3.9280853 5.828186
3.367 3.353 6.0135803 -3.8376312 5.840088
3.375 3.373 6.089752 -3.816208 5.8519897
3.395 3.394 5.992157 -3.8388214 5.784149
3.415 3.414 6.1611633 -3.8899994 5.784149
3.441 3.434 6.2516174 -3.9542694 5.802002
3.456 3.454 6.2778015 -3.9864044 5.807953
3.476 3.474 6.2528076 -3.9042816 5.6960754
3.496 3.494 6.33255 -3.89357 5.750824
3.516 3.514 6.173065 -3.8650055 5.826996
3.537 3.535 6.601532 -3.8459625 5.9019775
3.563 3.555 5.933838 -3.9780731 5.7294006
3.587 3.575 6.274231 -3.8459625 5.8198547
3.597 3.595 6.5551147 -3.76503 5.686554
3.617 3.615 6.217102 -3.713852 5.905548
3.638 3.635 6.581299 -3.7614594 5.6460876
3.658 3.656 6.4265747 -3.7733612 5.6758423
3.679 3.676 6.2135315 -3.823349 5.6948853
3.699 3.696 6.2504272 -3.8328705 5.7543945
3.717 3.716 6.3920593 -3.8293 5.686554
3.746 3.736 6.6741333 -3.8209686 5.566345
3.758 3.756 6.4051514 -3.5841217 5.6758423
3.778 3.776 6.446808 -3.7043304 5.7484436
3.799 3.796 6.2016296 -3.8447723 5.8043823
3.818 3.817 6.3980103 -3.8459625 5.7353516
3.838 3.837 5.824341 -4.7255096 5.7615356
3.859 3.857 5.774353 -4.9742584 5.713928
3.879 3.877 6.038574 -4.316086 5.7341614
3.899 3.897 6.025482 -4.1137543 5.7532043
3.920 3.917 6.07428 -4.093521 5.6579895
3.945 3.937 6.0540466 -4.228012 5.6698914
3.963 3.958 6.082611 -4.266098 5.711548
3.980 3.978 6.1373596 -4.1423187 5.648468
4.000 3.998 6.0599976 -4.156601 5.563965
4.020 4.018 6.057617 -4.2494354 5.602051
4.041 4.038 6.0588074 -4.270859 5.6508484
4.060 4.058 5.935028 -4.3267975 5.699646
4.080 4.078 5.9885864 -4.3577423 5.7912903
4.102 4.099 6.050476 -4.331558 5.8043823
4.125 4.119 6.0409546 -4.2637177 5.738922
4.140 4.139 5.933838 -4.235153 5.7853394
4.162 4.159 5.955261 -4.283951 5.848419
4.181 4.179 5.9195557 -4.3256073 5.809143
4.202 4.199 5.901703 -4.374405 5.7924805
4.222 4.219 5.9433594 -4.419632 5.782959
4.245 4.240 5.923126 -4.413681 5.7472534
4.263 4.260 6.0135803 -4.5315094 5.7722473
4.282 4.280 5.8862305 -4.517227 5.9007874
4.302 4.300 5.9778748 -4.477951 5.78891
4.330 4.320 5.9195557 -4.3767853 5.8234253
4.342 4.340 5.832672 -4.3541718 5.752014
4.362 4.360 5.9362183 -4.258957 5.840088
4.382 4.381 5.794586 -4.092331 5.807953
4.404 4.401 5.68985 -4.0637665 5.8317566
4.424 4.421 5.973114 -4.1542206 5.8246155
4.442 4.441 5.9695435 -4.1149445 5.8876953
4.463 4.461 5.942169 -4.074478 5.9472046
4.483 4.481 5.914795 -4.0756683 5.8746033
4.504 4.501 5.813629 -4.0816193 5.911499
4.523 4.522 5.858856 -4.2042084 6.007904
4.545 4.542 5.8279114 -4.3196564 5.98053
4.564 4.562 5.8683777 -4.425583 5.9924316
4.583 4.582 5.8469543 -4.491043 5.950775
4.610 4.602 5.869568 -4.4089203 5.9269714
4.632 4.622 5.9683533 -4.3922577 5.9091187
4.644 4.642 5.942169 -4.3577423 5.9472046
4.665 4.663 5.9112244 -4.310135 5.885315
