accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.081 0.028 -0.4261679 -7.2209125 7.5465236
0.082 0.048 -0.7182605 -6.670246 7.335834
0.082 0.068 -0.7757214 -6.2392898 6.799533
0.135 0.088 -0.60812724 -6.2584434 6.7803793
0.135 0.109 -0.06703765 -6.813898 7.503428
0.135 0.129 0.062249243 -7.120356 7.3406224
0.157 0.149 -0.33518824 -6.7708025 7.321469
0.299 0.169 -0.62728083 -6.26802 7.0102224
0.299 0.189 -0.31124622 -6.3685765 6.6893997
0.299 0.209 -0.1436521 -7.2065473 7.4603324
0.299 0.230 -0.2681506 -7.3645644 8.101978
0.299 0.250 -0.5650316 -6.9527617 7.9343843
0.299 0.270 -0.9672575 -6.129156 6.9479733
0.300 0.290 -0.6991069 -6.081272 6.6510925
0.329 0.310 -0.33997664 -6.5457473 7.1107793
0.341 0.330 0.14844051 -6.813898 6.9000893
0.409 0.351 -0.22505496 -6.9048777 7.7428484
0.409 0.371 -0.33039984 -6.363788 6.6175733
0.409 0.391 -0.50757074 -6.3685765 6.7085533
0.414 0.411 -0.5650316 -6.7468605 7.101202
0.456 0.431 -0.1436521 -7.0341644 6.9527617
0.456 0.451 -0.33518824 -7.311892 8.283937
0.475 0.471 -0.62249243 -6.493075 6.9383965
0.496 0.492 -0.7278373 -6.4404025 7.192182
0.514 0.512 -0.56982 -6.066907 6.5984197
0.538 0.532 0.18674773 -6.7468605 7.086837
0.556 0.552 -0.6895301 -6.967127 7.8290396
0.575 0.572 -0.01436521 -6.4547677 6.8282633
0.595 0.592 -0.36391866 -6.05733 6.991069
0.615 0.613 -0.11492168 -6.2823853 6.6654577
0.635 0.633 -0.35434186 -6.9862804 7.4842744
0.657 0.653 -0.6512229 -6.6750345 7.6614456
0.676 0.673 0.10055647 -6.435614 6.8091097
0.698 0.693 -0.6895301 -5.9759274 7.1634517
0.739 0.713 -0.02873042 -6.129156 6.517017
0.740 0.734 -0.2777274 -6.7372837 7.249643
0.771 0.754 -0.59855044 -6.694188 7.1107793
0.776 0.774 -0.1340753 -6.7229185 7.441179
0.796 0.794 0.25378537 -6.7468605 7.2113357
0.817 0.814 -0.33997664 -7.1347213 8.226477
0.837 0.834 -0.80445176 -6.861782 7.929596
0.859 0.854 -0.51235914 -6.291962 7.240066
0.877 0.875 -0.7469909 -6.0381765 6.7229185
0.897 0.895 -0.2777274 -6.469133 6.8522053
0.917 0.915 -0.08619126 -7.038953 7.632715
0.938 0.935 0.16759412 -7.201759 7.929596
0.959 0.955 -0.07182605 -6.7085533 7.872135
0.980 0.975 -0.46447513 -6.2345014 7.249643
0.998 0.996 -0.641646 -6.445191 6.943185
1.018 1.016 -0.3878607 -7.0102224 7.61835
1.038 1.036 -0.45489833 -7.086837 8.461109
1.062 1.056 -0.50757074 -6.4020953 7.9583263
1.078 1.076 -0.18195933 -5.4300494 6.8569937
1.098 1.096 -0.40701428 -5.875371 6.694188
1.119 1.117 -0.11492168 -6.349423 6.7324953
1.139 1.137 0.2633622 -6.8186865 7.575254
1.160 1.157 -0.11492168 -6.5936313 7.800309
1.179 1.177 -0.22026655 -5.9184666 6.8330517
1.200 1.197 0.038307227 -5.1762643 6.933608
1.220 1.217 0.11492168 -5.9663506 6.4260373
1.240 1.237 -0.15801731 -6.670246 7.5225816
1.263 1.258 -0.29688102 -7.019799 8.24563
1.282 1.278 -0.7038953 -6.679823 7.752425
1.300 1.298 -1.0247183 -6.0477533 6.943185
1.320 1.318 -0.47884035 -5.9902925 6.1387334
1.341 1.338 -0.2633622 -6.5936313 6.9719152
1.366 1.358 -0.272939 -7.249643 8.159439
1.381 1.379 -0.5363012 -6.847417 7.9966335
1.401 1.399 -0.39264908 -6.0621185 7.192182
1.421 1.419 -0.2873042 -5.8083334 6.8665705
1.441 1.439 -0.49320555 -6.50744 7.465121
1.461 1.459 -0.23942018 -6.981492 7.2831616
1.482 1.479 -0.5410896 -7.2544312 7.656657
1.503 1.500 -0.6991069 -6.8426285 7.302315
1.522 1.520 -0.34476504 -6.5936313 7.029376
1.542 1.540 -0.5602432 -6.172252 7.129933
1.562 1.560 -0.17238252 -6.5218053 6.7612257
1.584 1.580 -0.40222588 -6.8761473 7.2352777
1.602 1.600 -0.33518824 -7.091625 7.335834
1.623 1.620 -0.4405331 -6.9719152 7.7428484
1.643 1.641 -0.4261679 -6.8809357 7.565677
1.663 1.661 -0.49799395 -6.50744 7.2783732
1.684 1.681 -0.7134721 -6.6893997 7.2544312
1.703 1.701 -0.21068975 -6.9240313 7.819463
1.724 1.721 -0.7374141 -6.6510925 7.752425
1.744 1.741 -0.40222588 -6.0860605 7.216124
1.764 1.762 -0.34955344 -6.019023 7.1107793
1.785 1.782 -0.7038953 -6.517017 7.1395097
1.805 1.802 -0.19153613 -6.6606693 7.019799
1.824 1.822 -0.29688102 -7.2783732 7.666234
1.845 1.842 -0.770933 -7.2544312 7.7572136
1.865 1.862 -0.9768343 -6.7564373 7.503428
1.887 1.883 -1.1587936 -6.081272 7.1730285
1.905 1.903 -0.8619126 -5.5497594 6.4499793
1.925 1.923 -0.4405331 -5.9184666 6.105214
1.946 1.943 0.062249243 -6.8522053 7.067683
1.965 1.963 -0.46926352 -7.393295 7.6949644
1.986 1.983 -0.63206923 -6.751649 7.656657
2.006 2.004 -0.80924016 -6.2584434 7.038953
2.026 2.024 -0.91937345 -6.2392898 6.493075
2.046 2.044 -0.8331822 -6.7372837 6.991069
2.066 2.064 -0.18195933 -7.0964136 7.3885064
2.087 2.084 -0.63206923 -6.6989765 8.283937
2.108 2.104 -0.6512229 -5.923255 7.6375036
2.128 2.124 -0.7565677 -5.497087 7.3789296
2.147 2.145 -0.9959879 -6.0238113 6.6606693
2.167 2.165 -0.25857377 -6.847417 7.431602
2.188 2.185 -0.6799533 -7.0341644 7.771579
2.208 2.205 -0.32561144 -6.694188 7.9822683
2.228 2.225 -0.8571242 -6.253655 7.8050976
2.248 2.245 -1.1109096 -6.315904 7.61835
2.268 2.266 -1.1444284 -6.325481 7.536947
2.289 2.286 -1.0342951 -6.4404025 7.455544
2.308 2.306 -0.8714894 -6.435614 7.503428
2.328 2.326 -0.47884035 -6.0238113 7.3885064
2.349 2.346 -0.4261679 -6.3589997 7.043741
2.369 2.366 -1.0582372 -6.38773 7.1059904
2.389 2.387 -0.8619126 -6.4020953 7.1107793
2.412 2.407 -0.8619126 -6.2249246 6.8426285
2.430 2.427 -0.4165911 -6.540959 7.4124484
2.449 2.447 -0.92416185 -6.26802 7.9008656
2.470 2.467 -0.92416185 -6.215348 7.422025
2.490 2.487 -1.6424223 -5.7748146 6.9288197
2.510 2.507 -0.6943185 -6.4739213 7.0820484
2.531 2.528 -1.0342951 -6.8330517 7.795521
2.550 2.548 -0.7182605 -6.603208 7.445967
2.570 2.568 -0.7757214 -6.1100025 7.4268136
2.590 2.588 -0.8619126 -6.229713 7.1490865
2.611 2.608 -1.436521 -6.5936313 7.3166804
2.631 2.628 -0.92416185 -6.95755 7.383718
2.651 2.649 -0.8762778 -6.7708025 7.9104424
2.671 2.669 -1.043872 -6.2009826 7.2065473
2.691 2.689 -0.7038953 -6.0621185 7.3166804
2.712 2.709 -0.9528923 -6.6079965 7.398083
2.733 2.729 -1.2737153 -7.067683 7.5704656
2.752 2.749 -1.316811 -6.8186865 7.560889
2.772 2.770 -0.7182605 -6.540959 7.7428484
2.792 2.790 -1.0295067 -6.0477533 7.369353
2.813 2.810 -0.61291564 -6.1530986 6.933608
2.833 2.830 -0.8810662 -6.679823 7.479486
2.853 2.850 -0.842759 -7.1490865 8.015787
2.873 2.870 -0.8858546 -6.909666 7.714118
2.893 2.891 -0.51235914 -6.5457473 7.819463
2.913 2.911 -1.0055647 -6.0956373 7.1347213
2.935 2.931 -0.4165911 -6.3781533 7.297527
2.953 2.951 -0.8714894 -6.727707 7.311892
2.973 2.971 -0.6751649 -7.053318 8.039729
2.994 2.991 -1.3551182 -6.6606693 7.9870567
3.004 3.002 -1.3982137 -6.3111157 7.632715
3.024 3.022 -1.13964 -5.8226986 7.445967
3.046 3.042 -1.0295067 -5.923255 6.7564373
3.065 3.062 -0.33039984 -6.4164605 7.4124484
3.087 3.082 -1.0534488 -6.612785 7.5848308
3.106 3.102 -0.6943185 -6.38773 7.513005
3.126 3.122 -0.8379706 -5.884948 7.3071036
3.150 3.143 -0.5267244 -6.0285997 7.326257
3.172 3.163 -0.9528923 -6.3685765 7.1490865
3.188 3.183 -0.91458505 -6.2967505 7.6614456
3.206 3.203 -0.60333884 -6.167464 7.225701
3.227 3.223 -1.1300632 -6.0860605 7.264008
3.247 3.243 -1.0965444 -6.301539 7.129933
3.267 3.264 -0.4357447 -6.5218053 7.2592196
3.289 3.284 -0.94331545 -6.3350577 7.120356
3.307 3.304 -0.5267244 -5.9519854 7.2209125
3.328 3.324 -0.2825158 -5.837064 6.9383965
3.347 3.344 -0.82360536 -6.277597 7.383718
3.368 3.364 -0.8283938 -6.6367273 7.651869
3.388 3.385 -0.78050977 -6.7803793 7.872135
3.410 3.405 -1.3072342 -6.5265937 7.9631147
3.428 3.425 -0.9528923 -6.3206925 7.8050976
3.449 3.445 -1.3263878 -6.157887 7.785944
3.469 3.465 -0.6655881 -6.3685765 7.565677
3.492 3.485 -0.59376204 -6.4547677 7.905654
3.509 3.505 -0.39743748 -6.5744777 7.6135616
3.530 3.526 -0.6368576 -6.540959 8.178593
3.549 3.546 -0.92895025 -6.2584434 7.5944076
3.570 3.566 -0.6655881 -6.1243677 7.2783732
