accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.073 0.020 -0.48362875 0.2777274 10.290278
0.074 0.040 -0.1388637 0.24420857 9.557653
0.074 0.060 -0.33518824 0.23463176 9.89763
0.087 0.081 -0.39743748 0.25378537 9.935937
0.108 0.101 -0.19632454 0.19632454 9.619903
0.210 0.121 -0.39743748 0.23463176 9.916783
0.210 0.141 -0.34476504 0.2873042 9.811439
0.211 0.161 -0.24899697 0.16759412 9.710882
0.211 0.181 -0.35913026 0.2681506 9.902418
0.211 0.202 -0.2681506 0.22984336 9.710882
0.257 0.222 -0.23463176 0.272939 9.720459
0.257 0.242 -0.38307226 0.24899697 9.969456
0.270 0.262 -0.23463176 0.21547815 9.744401
0.461 0.282 -0.30166942 0.19632454 9.758766
0.461 0.302 -0.35913026 0.25857377 9.844957
0.461 0.323 -0.2873042 0.25857377 9.730036
0.461 0.343 -0.35434186 0.24420857 9.821015
0.461 0.363 -0.25857377 0.24420857 9.835381
0.461 0.383 -0.2681506 0.16280572 9.787497
0.461 0.403 -0.33997664 0.23942018 9.849746
0.461 0.423 -0.2873042 0.23942018 9.734824
0.461 0.444 -0.2873042 0.25378537 9.816227
0.466 0.464 -0.30645782 0.22984336 9.864111
0.490 0.484 -0.272939 0.23942018 9.782708
0.509 0.504 -0.33518824 0.25857377 9.821015
0.536 0.524 -0.31603462 0.29209262 9.80665
0.556 0.544 -0.30645782 0.24899697 9.792285
0.571 0.564 -0.29209262 0.272939 9.849746
0.588 0.585 -0.29688102 0.22984336 9.811439
0.607 0.605 -0.32561144 0.21547815 9.758766
0.628 0.625 -0.33039984 0.2777274 9.825804
0.655 0.645 -0.29209262 0.30166942 9.763555
0.671 0.665 -0.31603462 0.2777274 9.811439
0.689 0.685 -0.30645782 0.25857377 9.758766
0.708 0.706 -0.2681506 0.2633622 9.758766
0.729 0.726 -0.31603462 0.22984336 9.840169
0.762 0.746 -0.31124622 0.2681506 9.792285
0.816 0.766 -0.320823 0.23942018 9.801862
0.816 0.786 -0.34476504 0.24899697 9.811439
0.816 0.806 -0.29209262 0.22505496 9.787497
0.829 0.827 -0.320823 0.23463176 9.888053
0.852 0.847 -0.29688102 0.23942018 9.787497
0.870 0.867 -0.2777274 0.24420857 9.773131
0.890 0.887 -0.29209262 0.2777274 9.773131
0.910 0.907 -0.30645782 0.22505496 9.849746
0.930 0.927 -0.30166942 0.24899697 9.89763
0.950 0.948 -0.33518824 0.24899697 9.854534
0.972 0.968 -0.33997664 0.2777274 9.753978
0.990 0.988 -0.30166942 0.23463176 9.758766
1.010 1.008 -0.320823 0.2825158 9.782708
1.030 1.028 -0.32561144 0.2633622 9.859323
1.052 1.048 -0.31124622 0.24420857 9.80665
1.072 1.068 -0.29209262 0.19632454 9.768343
1.091 1.089 -0.29209262 0.24899697 9.787497
1.111 1.109 -0.30166942 0.24420857 9.734824
1.131 1.129 -0.320823 0.272939 9.821015
1.151 1.149 -0.30166942 0.24899697 9.80665
1.171 1.169 -0.2873042 0.320823 9.878476
1.193 1.189 -0.30166942 0.22984336 9.80665
1.212 1.210 -0.2825158 0.2633622 9.753978
1.232 1.230 -0.2825158 0.22984336 9.787497
1.252 1.250 -0.31603462 0.25378537 9.864111
1.274 1.270 -0.31603462 0.25378537 9.835381
1.294 1.290 -0.30166942 0.22984336 9.787497
1.313 1.310 -0.29209262 0.23463176 9.792285
1.333 1.331 -0.2825158 0.22505496 9.763555
