accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.423 0.380 0.22213745 -0.08378601 9.050018
0.424 0.400 0.22927856 -0.07902527 9.015503
0.424 0.420 0.19238281 -0.08378601 9.0512085
0.445 0.440 0.18762207 -0.104019165 9.022644
0.470 0.460 0.16738892 -0.10282898 9.033356
0.482 0.481 0.2019043 -0.0766449 9.010742
0.502 0.501 0.1769104 -0.095687866 9.053589
0.522 0.521 0.19476318 -0.06474304 9.009552
0.546 0.541 0.19476318 -0.10282898 9.050018
0.563 0.561 0.193573 -0.112350464 9.053589
0.582 0.581 0.21618652 -0.13020325 9.044067
0.602 0.602 0.21380615 -0.101638794 9.032166
0.623 0.622 0.17453003 -0.095687866 9.057159
0.652 0.642 0.18762207 -0.082595825 9.065491
0.696 0.662 0.15429688 -0.08378601 8.991699
0.696 0.682 0.1852417 -0.095687866 9.052399
0.704 0.702 0.20666504 -0.10877991 9.016693
0.735 0.722 0.2102356 -0.08973694 8.991699
0.744 0.743 0.18881226 -0.093307495 9.021454
0.764 0.763 0.19833374 -0.093307495 9.003601
0.784 0.783 0.19833374 -0.07069397 9.05954
0.804 0.803 0.2268982 -0.071884155 9.089294
0.825 0.823 0.19595337 -0.09449768 9.046448
0.844 0.843 0.2019043 -0.0766449 9.055969
0.864 0.863 0.17929077 -0.09211731 9.064301
0.885 0.884 0.17929077 -0.069503784 9.06311
0.905 0.904 0.19238281 -0.082595825 9.005981
0.927 0.924 0.21380615 -0.10282898 8.980988
0.945 0.944 0.20547485 -0.0849762 9.075012
0.965 0.964 0.20309448 -0.0849762 9.014313
0.985 0.984 0.20785522 -0.07783508 9.038116
1.005 1.004 0.17810059 -0.0766449 9.05835
1.028 1.025 0.19000244 -0.09806824 9.020264
1.046 1.045 0.18762207 -0.09449768 9.069061
1.066 1.065 0.17453003 -0.09806824 9.064301
1.086 1.085 0.17095947 -0.08735657 9.021454
1.106 1.105 0.1769104 -0.09806824 9.022644
1.127 1.125 0.19833374 -0.093307495 9.020264
1.146 1.145 0.19000244 -0.07783508 9.028595
1.167 1.166 0.2102356 -0.093307495 9.073822
1.187 1.186 0.22094727 -0.10758972 9.035736
1.207 1.206 0.193573 -0.07902527 9.021454
