accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.028 0.016 -0.59376204 0.20111294 10.323798
0.053 0.037 -0.110133275 0.1388637 9.595961
0.071 0.057 -0.16759412 0.19153613 9.653421
0.145 0.077 -0.5363012 0.16759412 10.156203
0.145 0.097 -0.06703765 0.18674773 9.591172
0.145 0.118 -0.23942018 0.18674773 9.667787
0.145 0.138 -0.45489833 0.25857377 10.04607
0.183 0.158 -0.11492168 0.1340753 9.725247
0.183 0.179 -0.30166942 0.21068975 9.830592
0.251 0.199 -0.2873042 0.22505496 9.854534
0.251 0.219 -0.15801731 0.15801731 9.667787
0.251 0.239 -0.35434186 0.18674773 9.931149
0.263 0.260 -0.24899697 0.25857377 9.739613
0.308 0.280 -0.21068975 0.17238252 9.763555
0.308 0.300 -0.36391866 0.17717093 9.931149
0.324 0.321 -0.23463176 0.19632454 9.682152
0.346 0.341 -0.272939 0.2633622 9.873688
0.380 0.361 -0.29688102 0.24420857 9.859323
0.398 0.381 -0.20111294 0.19153613 9.749189
0.415 0.402 -0.31603462 0.22505496 9.859323
0.433 0.422 -0.22984336 0.18195933 9.792285
0.448 0.442 -0.25857377 0.20590134 9.691729
0.480 0.463 -0.30166942 0.23942018 9.801862
0.498 0.483 -0.22984336 0.22026655 9.744401
0.515 0.503 -0.2873042 0.24899697 9.854534
0.533 0.523 -0.25857377 0.19632454 9.773131
0.549 0.544 -0.2825158 0.23463176 9.821015
0.567 0.564 -0.2777274 0.17717093 9.77792
0.626 0.584 -0.24899697 0.22026655 9.768343
0.626 0.605 -0.29209262 0.22505496 9.801862
0.628 0.625 -0.2825158 0.21068975 9.80665
0.656 0.645 -0.25378537 0.18674773 9.768343
0.668 0.665 -0.2873042 0.22026655 9.797073
0.688 0.686 -0.22984336 0.19632454 9.706094
0.712 0.706 -0.32561144 0.22026655 9.787497
0.729 0.726 -0.2681506 0.21547815 9.825804
0.749 0.747 -0.29209262 0.22026655 9.782708
0.769 0.767 -0.32561144 0.15801731 9.811439
0.789 0.787 -0.2681506 0.19153613 9.725247
0.810 0.807 -0.25857377 0.23942018 9.80665
0.830 0.827 -0.2681506 0.22026655 9.782708
0.850 0.848 -0.2825158 0.23942018 9.801862
0.871 0.868 -0.25857377 0.23942018 9.811439
0.891 0.888 -0.23942018 0.21068975 9.835381
0.912 0.909 -0.2777274 0.22984336 9.768343
0.932 0.929 -0.24420857 0.18195933 9.753978
0.952 0.949 -0.2681506 0.21068975 9.753978
0.972 0.969 -0.272939 0.24899697 9.80665
0.992 0.990 -0.24899697 0.16280572 9.835381
1.015 1.010 -0.29209262 0.20111294 9.811439
1.032 1.030 -0.23463176 0.20590134 9.811439
1.053 1.051 -0.2825158 0.22505496 9.782708
1.073 1.071 -0.23942018 0.21547815 9.782708
1.094 1.091 -0.2825158 0.18195933 9.801862
1.115 1.111 -0.2873042 0.22505496 9.830592
1.134 1.132 -0.29209262 0.22984336 9.749189
1.154 1.152 -0.22984336 0.20111294 9.763555
1.175 1.172 -0.24899697 0.20590134 9.801862
1.195 1.193 -0.25378537 0.16759412 9.720459
1.216 1.213 -0.29209262 0.17717093 9.835381
1.237 1.233 -0.2633622 0.22026655 9.787497
1.256 1.253 -0.2777274 0.18195933 9.825804
1.276 1.274 -0.2777274 0.20111294 9.763555
1.296 1.294 -0.25378537 0.25378537 9.763555
1.319 1.314 -0.2873042 0.21068975 9.768343
1.338 1.335 -0.2633622 0.20590134 9.763555
1.357 1.355 -0.22505496 0.20111294 9.744401
1.377 1.375 -0.272939 0.20590134 9.787497
1.398 1.395 -0.30166942 0.16759412 9.840169
1.419 1.416 -0.272939 0.18674773 9.782708
1.439 1.436 -0.25857377 0.20590134 9.825804
1.459 1.456 -0.272939 0.23942018 9.821015
1.479 1.477 -0.2777274 0.19632454 9.797073
1.499 1.497 -0.2825158 0.20590134 9.734824
1.520 1.517 -0.2681506 0.22505496 9.80665
1.542 1.537 -0.2825158 0.23463176 9.80665
1.560 1.558 -0.31124622 0.23942018 9.835381
1.580 1.578 -0.21547815 0.21068975 9.816227
1.600 1.598 -0.24899697 0.23463176 9.797073
1.625 1.619 -0.29209262 0.16280572 9.825804
1.641 1.639 -0.2777274 0.19153613 9.739613
1.661 1.659 -0.24899697 0.23942018 9.782708
1.682 1.679 -0.2681506 0.22984336 9.730036
1.702 1.700 -0.22026655 0.22984336 9.811439
1.723 1.720 -0.24420857 0.23463176 9.801862
1.742 1.740 -0.2681506 0.17238252 9.854534
1.763 1.761 -0.30166942 0.23463176 9.864111
1.783 1.781 -0.25378537 0.20111294 9.835381
1.803 1.801 -0.23942018 0.23463176 9.773131
1.824 1.821 -0.2681506 0.23942018 9.801862
1.845 1.842 -0.2873042 0.24420857 9.768343
1.864 1.862 -0.2633622 0.21068975 9.797073
1.885 1.882 -0.25857377 0.20111294 9.80665
1.905 1.903 -0.24420857 0.22505496 9.773131
1.927 1.923 -0.24899697 0.22026655 9.816227
1.946 1.943 -0.2825158 0.22026655 9.825804
1.966 1.963 -0.23942018 0.16280572 9.77792
1.986 1.984 -0.23942018 0.17717093 9.835381
2.006 2.004 -0.29688102 0.18674773 9.739613
2.027 2.024 -0.24899697 0.20111294 9.691729
2.047 2.045 -0.25857377 0.20590134 9.787497
2.067 2.065 -0.272939 0.23942018 9.80665
2.088 2.085 -0.2825158 0.21068975 9.787497
2.107 2.105 -0.272939 0.16759412 9.811439
2.128 2.125 -0.21547815 0.21068975 9.797073
2.150 2.146 -0.23942018 0.22026655 9.787497
2.168 2.166 -0.2633622 0.17717093 9.763555
2.189 2.186 -0.272939 0.19632454 9.801862
2.209 2.207 -0.272939 0.23463176 9.854534
2.231 2.227 -0.32561144 0.20590134 9.792285
2.250 2.247 -0.24899697 0.21068975 9.758766
2.270 2.267 -0.21547815 0.21547815 9.730036
2.290 2.288 -0.25857377 0.23942018 9.744401
2.310 2.308 -0.24420857 0.23463176 9.888053
2.331 2.328 -0.31124622 0.21068975 9.811439
2.352 2.349 -0.29209262 0.22505496 9.787497
2.371 2.369 -0.24420857 0.16280572 9.816227
2.391 2.389 -0.30166942 0.20111294 9.782708
2.412 2.409 -0.29209262 0.23463176 9.758766
2.433 2.430 -0.22984336 0.19153613 9.849746
2.453 2.450 0.12449849 0.1340753 8.580819
2.472 2.470 -0.36391866 0.22984336 10.113108
2.493 2.491 -0.36391866 0.24420857 9.380483
2.514 2.511 -0.47884035 0.18195933 9.868899
2.538 2.531 -0.56982 0.16759412 10.060435
2.554 2.551 -0.2681506 0.2825158 9.610326
2.574 2.572 -0.17717093 0.20590134 9.528923
2.594 2.592 -0.21547815 0.25378537 9.56723
2.615 2.612 -0.23942018 0.22026655 9.610326
2.635 2.633 -0.10055647 -0.45489833 14.705187
2.656 2.653 -0.30166942 0.30166942 9.370906
2.676 2.673 -0.45489833 0.2681506 9.23683
2.696 2.693 -0.35434186 0.22505496 9.782708
2.716 2.714 -1.316811 0.49799395 9.581595
2.737 2.734 -0.45489833 0.16759412 10.041282
2.758 2.754 -0.45010993 0.2681506 9.878476
2.777 2.775 0.04309563 0.15801731 9.744401
2.797 2.795 0.56982 0.04309563 9.921572
2.817 2.815 -0.22984336 0.18195933 9.610326
2.842 2.835 -0.32561144 0.15322891 9.859323
2.858 2.856 -0.31124622 0.2681506 9.821015
