accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.286 0.286 6.33255 2.3251495 -8.118408
0.307 0.306 6.3789673 2.2715912 -8.520691
0.333 0.326 5.5732117 2.277542 -8.546875
0.350 0.346 5.422058 2.0633087 -8.106506
0.367 0.366 6.5801086 1.840744 -7.764923
0.387 0.386 6.705078 1.956192 -8.110077
0.408 0.406 6.4777527 2.096634 -8.318359
0.434 0.427 6.9764404 1.9954681 -7.949402
0.450 0.447 6.569397 1.8455048 -7.398346
0.468 0.467 6.993103 2.1002045 -7.814911
0.488 0.487 5.7267456 1.8764496 -7.6911316
0.527 0.507 6.736023 2.20018 -7.200775
0.529 0.527 6.390869 1.8121796 -7.015106
0.549 0.547 6.2504272 2.1240082 -7.162689
0.569 0.568 6.3753967 2.3894196 -7.23172
0.589 0.588 5.620819 2.3465729 -7.4590454
0.609 0.608 5.8410034 2.2989655 -7.0353394
0.631 0.628 6.697937 2.0954437 -6.358124
0.649 0.648 7.254944 1.8502655 -7.084137
0.669 0.668 6.1873474 1.9062042 -8.490936
0.689 0.688 3.4761047 2.058548 -8.649231
0.710 0.709 3.4308777 1.5074921 -7.6256714
0.730 0.729 3.1749878 1.1444855 -7.307892
0.750 0.749 0.9671936 0.66127014 -9.021759
0.770 0.769 1.8681641 0.97428894 -10.127441
0.790 0.789 1.9288635 1.2004242 -11.095062
0.810 0.809 1.5230103 1.1016388 -10.995087
0.830 0.829 0.39233398 0.8564606 -11.268829
0.851 0.850 0.72558594 1.7193451 -12.637543
0.871 0.870 -0.62527466 1.0576019 -13.784882
0.891 0.890 1.6015625 0.55415344 -11.690155
0.911 0.910 0.62323 -0.48368835 -10.442841
0.932 0.930 0.6137085 -0.19447327 -10.094116
0.951 0.950 2.7869873 0.5351105 -9.981049
0.971 0.970 1.9443359 -0.1754303 -10.75705
0.992 0.991 0.8695984 -0.5301056 -10.595184
1.015 1.011 1.0695496 -0.24684143 -9.938202
1.032 1.031 1.855072 -0.27064514 -9.934631
1.052 1.051 1.8824463 0.03642273 -9.810852
1.072 1.071 -0.24441528 0.18281555 -10.385712
1.092 1.091 0.14596558 1.0314178 -10.814178
1.113 1.111 1.1730957 0.45655823 -11.299774
1.133 1.132 0.5815735 -0.06712341 -10.50354
1.153 1.152 1.2671204 0.66007996 -10.30835
1.173 1.172 -0.07659912 0.8600311 -10.734436
1.193 1.192 1.3575745 1.3718109 -11.033173
1.213 1.212 1.4563599 0.35420227 -11.27121
1.234 1.232 0.24832153 0.36253357 -10.139343
1.255 1.252 -1.4929199 0.12568665 -9.829895
1.274 1.273 -0.38009644 0.6160431 -11.303345
1.294 1.293 1.5396729 0.49583435 -11.565186
1.315 1.313 0.66607666 -0.01713562 -10.797516
