linear-acceleration.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.300 0.283 0.0 0.0 -0.0
0.301 0.287 0.08749162 -0.09107751 -0.029771805
0.302 0.292 0.041069224 0.03530848 0.06821537
0.305 0.298 0.15344027 0.0568524 0.08239651
0.315 0.303 -0.1388339 -0.020331174 -0.107385635
0.316 0.308 0.16306183 -0.01105091 -0.08256149
0.316 0.313 -0.10704908 0.0987511 -0.115659714
0.327 0.318 0.19718131 -0.0864211 -0.14494896
0.330 0.323 -0.16695398 0.30404326 0.116594315
0.331 0.328 0.10348284 -0.26946196 -0.2099905
0.335 0.333 -0.10257466 0.15870604 0.12288284
0.343 0.338 0.34046876 0.07140657 0.10610485
0.345 0.343 -0.22514057 -0.029777795 -0.013023376
0.351 0.348 0.058177397 -0.024401397 0.089577675
0.358 0.353 -0.021479875 0.04503447 -0.056360245
0.361 0.358 0.028531417 0.03213525 -0.007095337
0.365 0.363 -0.061157696 0.042501062 -0.094059944
0.373 0.368 0.04407697 -0.1858173 -0.12705803
0.376 0.373 0.09466583 0.08452138 0.08484554
0.381 0.378 0.096794456 0.11092126 0.13714218
0.385 0.383 -0.08121019 -0.14615452 -0.050756454
0.391 0.388 0.017897718 -0.014702171 0.07764912
0.395 0.393 -9.059906E-5 0.010916084 -0.09422016
0.400 0.398 0.108831264 0.10610905 -0.035557747
0.408 0.403 -0.1442464 0.010296583 0.02298069
0.410 0.408 0.056819648 -0.16073179 -0.093494415
0.418 0.413 -0.0719554 0.14430988 0.054380417
0.424 0.418 0.15405896 -0.0434179 0.07539463
0.428 0.423 -0.058698818 -0.059366703 0.036017418
0.431 0.428 0.13115364 -0.04480049 0.03366661
0.443 0.433 -0.12143281 0.13287163 0.030280113
0.445 0.439 0.16871648 -0.16086867 -0.15169048
0.447 0.444 -0.085391544 0.30085024 0.12758064
0.451 0.449 0.065349124 -0.22681466 -0.22966003
0.458 0.454 -0.07237487 0.04665181 0.04744816
0.461 0.459 0.22875021 0.036054134 0.15374565
0.466 0.464 -0.105873585 -0.05548069 0.054626465
0.477 0.469 0.07098956 -0.002107054 0.02768612
0.477 0.474 -0.11518433 -0.019540936 -0.01245594
0.481 0.479 0.12182743 -0.026083529 -0.013310432
0.486 0.484 -0.12217085 0.27176332 0.03113079
0.491 0.489 0.11605859 -0.2785918 -0.20779896
0.496 0.494 -0.09595229 0.067293406 0.010931969
0.501 0.499 0.18083327 0.12743655 0.17817688
0.508 0.504 -0.05017326 -0.14910883 -0.12370968
0.511 0.509 -0.049426354 -0.05291027 0.03149414
0.516 0.514 0.07936188 0.049608707 -0.11478424
0.529 0.519 0.03178975 0.12202093 -0.038975716
0.529 0.524 0.02374477 0.008651882 -0.018367767
0.532 0.529 0.01530841 -0.08378354 -0.022669792
0.539 0.534 -0.05671288 0.10922453 0.07812786
0.568 0.539 0.08603104 -0.0014559329 0.03810692
0.568 0.544 -0.09677376 -0.095061064 -0.078228
0.568 0.549 0.16959809 -0.0572055 -0.03940773
0.568 0.554 -0.09807153 0.18346068 -0.042197227
0.568 0.559 0.14541829 -0.18110892 -0.078855515
0.568 0.564 -0.063041754 0.27323222 0.1329937
0.572 0.569 0.11348094 -0.24283582 -0.020195007
0.582 0.574 -0.080385536 0.16245261 0.13341236
0.582 0.579 0.20841259 0.0579271 0.02936554
0.590 0.585 -0.1517294 0.06390664 -0.09872818
0.594 0.590 0.061818633 -0.049560845 -0.014001846
0.597 0.595 -0.016986758 0.073162496 -0.0746851
0.602 0.600 0.010018546 -0.06847364 -0.08640289
0.608 0.605 -0.031142183 0.19273823 0.10242653
0.613 0.610 -0.0033897385 -0.23815894 -0.113633156
0.617 0.615 0.06293023 -1.9040704E-4 0.11434078
0.622 0.620 0.09879718 0.23195803 0.1255598
0.631 0.625 0.12334615 -0.19507167 -0.1378336
0.634 0.630 -0.111749224 0.010509551 0.092900276
0.643 0.635 0.08830924 -0.011907458 -0.08207226
0.643 0.640 0.07075833 0.08442712 -0.029294014
0.647 0.645 -0.12283507 0.019715428 0.0744009
0.654 0.650 0.036310747 -0.13797554 0.013513565
0.659 0.655 -0.09050857 0.08341521 0.14838123
0.662 0.660 0.17519861 -0.08108267 0.009005547
0.667 0.665 -0.029479958 0.03955391 -0.06982994
0.674 0.670 0.0666478 -0.095062435 -0.07599449
0.679 0.675 8.4363297E-4 0.1551964 -0.056235313
0.684 0.680 0.07586607 -0.19590524 -0.12252998
0.688 0.685 -0.02629859 0.22372022 0.06470585
