linear-acceleration.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.049 0.028 -2.4688287 2.6760032 -1.3148956
0.049 0.038 -2.61952 2.6042366 -1.5117044
0.058 0.048 -2.5495772 2.748379 -1.4445705
0.069 0.058 -2.9115438 2.9964392 -1.4157581
0.091 0.068 -2.979969 3.2749386 -1.2148142
0.091 0.078 -3.2051225 3.486911 -1.0381279
0.196 0.089 -3.2673004 3.3757248 -1.2402811
0.196 0.099 -3.118033 3.2425783 -1.2561579
0.196 0.109 -3.0485427 2.996959 -1.2723455
0.196 0.119 -2.9193487 2.8387718 -1.3510313
0.196 0.129 -2.9050221 2.8680797 -1.3577948
0.196 0.139 -2.8831575 2.8728304 -1.2444525
0.196 0.149 -2.7422576 2.8654897 -1.0109272
0.196 0.159 -2.6756954 2.91509 -1.050251
0.196 0.169 -2.6302202 2.7098374 -1.2241411
0.196 0.179 -3.0069776 2.593179 -1.4993868
0.196 0.189 -2.835433 3.0301418 -1.5838175
0.202 0.199 -2.6960897 3.3116417 -1.8981199
0.240 0.209 -3.0278444 3.2248583 -1.7847939
0.240 0.220 -3.1423101 3.3071272 -1.1577215
0.240 0.230 -3.4371338 3.2745776 -0.7461271
0.249 0.240 -4.448589 2.5596945 0.34933186
0.252 0.250 -3.2588873 3.2562156 0.058196068
0.334 0.260 -2.15169 3.3375468 -0.5365362
0.334 0.270 -2.3027081 2.7987876 -1.0779333
0.334 0.280 -2.0705798 2.529045 -1.0389719
0.334 0.290 -1.6997936 2.5196679 -0.8458853
0.334 0.300 -1.1042938 1.9774464 -0.3848486
0.334 0.310 -2.8648329 2.6557884 -1.490366
0.334 0.320 -4.0610275 3.593343 -1.8109703
0.334 0.330 -3.9182525 4.0348845 -1.5749388
0.352 0.341 -3.3343465 4.0456285 -1.3752241
0.357 0.351 -3.4887595 3.769033 -1.0301399
0.390 0.361 -3.580047 3.3657756 -0.7611189
0.390 0.371 -3.5944927 3.2022884 -0.741415
0.390 0.381 -3.6830773 3.207657 -1.0145063
0.397 0.391 -2.9740427 3.008215 -1.0916033
0.407 0.401 -2.9779792 2.8505914 -1.1875153
0.442 0.411 -2.9942684 2.9029684 -1.0722561
0.442 0.421 -2.9511456 3.2490265 -0.88000107
0.442 0.431 -2.9931173 3.4829159 -0.94613075
0.456 0.441 -3.0154893 3.5725055 -1.0263634
0.456 0.451 -3.1194544 3.602633 -1.0151968
0.474 0.462 -3.2619193 3.614793 -1.1139889
0.490 0.472 -3.2049098 3.5747447 -1.2802496
0.490 0.482 -3.3087661 3.4944139 -1.3891163
0.505 0.492 -3.449593 3.3488035 -1.4645052
0.505 0.502 -3.4787407 3.2292979 -1.5303621
0.524 0.512 -3.3712249 3.1211116 -1.4190321
0.548 0.522 -3.3422775 3.045737 -1.3125334
0.548 0.532 -3.3727994 3.26731 -1.1200275
0.548 0.542 -3.4353056 3.3900506 -0.9327278
0.560 0.552 -3.3194704 3.458496 -1.0716143
0.575 0.562 -3.2871745 3.3925605 -1.3928394
0.575 0.572 -3.4230416 3.3332 -1.5895586
0.592 0.582 -3.563934 3.3094082 -1.5275059
0.595 0.593 -3.6483207 3.3211453 -1.4078646
0.606 0.603 -3.6921382 3.389245 -1.2500372
0.625 0.613 -3.6371312 3.3900855 -1.1737738
0.628 0.623 -3.5153747 3.4027781 -1.2268982
0.676 0.633 -3.411563 3.3495145 -1.2560863
0.676 0.643 -3.241919 3.3361826 -1.4526367
0.676 0.653 -3.1060674 3.2320356 -1.5625563
0.676 0.663 -3.1659238 3.2261999 -1.3462496
0.684 0.673 -3.085113 3.2876368 -1.239418
0.701 0.683 -3.1072133 3.331877 -1.4479837
0.701 0.693 -3.007382 3.277244 -1.679841
0.706 0.703 -2.6171136 3.1605542 -1.6234627
0.718 0.714 -2.9828339 3.103679 -1.6714334
0.726 0.724 -3.2957087 3.2198284 -1.6136532
0.737 0.734 -3.1729808 3.054995 -1.1101217
0.746 0.744 -2.5025249 2.8991675 -0.55389595
0.758 0.754 -2.2421026 2.7353349 -0.14164829
0.767 0.764 -2.1401577 2.6835656 0.011151314
0.777 0.774 -1.6989101 2.5618606 0.23394299
0.789 0.784 -2.3514686 2.6926515 -1.1210785
0.796 0.794 -2.7428327 3.2178228 -1.4720135
0.807 0.804 -2.3531938 3.3342462 -1.4298792
0.818 0.814 -2.3733118 3.1996698 -1.3194675
0.827 0.824 -2.476087 3.1141872 -1.1221161
